date,NYC-3-1-1,ACS,BPSI,CAU,CHALL,DEP,DOB,DOE,DOF,DOHMH,DPR,FEMA,HPD,HRA,MFANYC,MOSE,NYCEM,NYCHA,NYCSERVICE,NYPD,NYSDOL,SBS,NYSEMERGENCYMG,total
5/29/13,0,0,0,0,9,0,1,0,8,0,0,0,11,0,0,1,0,0,5,0,0,3,20,58
5/30/13,0,0,0,0,8,0,3,0,2,0,0,0,2,0,0,2,0,0,2,0,1,4,13,37
5/31/13,0,0,0,0,8,0,2,0,6,0,0,0,4,0,0,1,0,0,2,0,1,3,23,50
6/1/13,0,0,0,0,7,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,7,21
6/2/13,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,8
6/3/13,0,0,0,0,33,0,4,0,5,2,0,0,1,0,0,0,1,0,2,0,3,5,46,102
6/4/13,0,0,0,0,22,0,2,0,4,0,0,0,0,0,0,5,0,0,3,1,2,12,34,85
6/5/13,0,0,0,0,11,0,1,0,3,4,0,0,0,0,0,0,2,0,1,0,2,3,23,50
6/6/13,0,0,0,0,7,1,2,0,3,2,0,0,0,0,0,2,0,0,5,0,0,7,14,43
6/7/13,0,0,0,0,7,0,4,0,2,2,0,0,0,0,0,1,0,0,2,0,0,6,16,40
6/8/13,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,6,15
6/9/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,6
6/10/13,0,0,0,0,5,0,5,0,1,1,0,0,0,0,0,1,0,1,6,1,3,8,28,60
6/11/13,0,0,0,0,4,0,2,0,1,1,0,0,0,0,0,1,1,0,2,0,2,2,16,32
6/12/13,0,0,0,0,3,0,4,0,3,3,0,0,0,0,0,1,0,0,1,0,3,7,20,45
6/13/13,0,0,0,0,4,0,3,0,8,1,0,0,0,0,0,0,0,0,0,0,1,2,15,34
6/14/13,0,0,0,0,5,1,4,0,3,0,0,0,0,0,0,0,0,2,3,0,0,2,14,34
6/15/13,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,2,0,0,0,7,17
6/16/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
6/17/13,0,0,0,0,4,1,6,0,2,1,0,0,0,0,0,0,1,1,0,1,0,5,14,36
6/18/13,0,0,0,0,2,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,9,22
6/19/13,0,0,0,0,2,1,4,0,6,0,0,0,0,0,0,1,0,0,1,0,1,5,13,34
6/20/13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,1,3,14,26
6/21/13,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,4,0,0,1,9,22
6/22/13,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7
6/23/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,9
6/24/13,0,0,0,0,3,0,2,0,1,1,0,0,0,0,0,1,0,0,3,0,1,5,19,36
6/25/13,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,3,18,28
6/26/13,0,0,0,0,2,1,2,0,4,1,0,0,0,0,0,0,0,1,6,0,1,3,11,32
6/27/13,0,0,0,0,6,0,1,0,2,2,0,0,0,0,0,2,0,0,6,1,0,4,11,35
6/28/13,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,12,21
6/29/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,6
6/30/13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,8,12
7/1/13,0,0,0,0,5,1,5,0,6,0,0,0,0,0,0,0,1,1,5,0,0,3,16,43
