matchup,game_date,type_of_hit,exit_velocity,predicted_zone,camera_zone,used_zone
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,79.6,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,73.9,4,4,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,2,,2
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,85.3,4,4,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,73.9,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,80.1,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,3,3,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,2,,2
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,106.2,5,5,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Batter hits self,66.3,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,85.5,4,4,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,92.7,6,6,6
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,70.5,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,3,,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,66.3,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,68.7,2,,2
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,3,,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,69.6,2,,2
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,2,,2
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,108.5,6,6,6
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,95.8,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,53.3,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,70.5,2,,2
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,108.5,7,7,7
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,75.6,3,,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,70.8,3,,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,3,,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Pop Up,78.1,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,56.9,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,60.3,5,5,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,46.9,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,86.9,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,3,3,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,63,2,,2
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,82.8,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,73.3,4,4,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,79.7,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,74.4,5,5,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,102.9,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,71,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,80.2,5,5,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,62.2,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,96.6,5,5,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,62.8,5,5,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,101.4,5,5,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,85.3,5,5,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,70.9,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,45.1,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,72.8,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,72.5,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,62.7,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,74.6,5,5,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,87.8,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Pop Up,70.2,1,,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Pop Up,80.5,1,,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Pop Up,81.7,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Pop Up,77.8,1,,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,86,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,68.8,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,88.7,5,5,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,2,,2
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,75.4,3,,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,66.4,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,91.3,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,67.3,2,,2
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,4,,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,77.6,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,71.2,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,3,3,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,67.3,3,,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,69.1,4,4,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,74.9,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,3,3,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Pop Up,71.8,1,,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,65.1,2,,2
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,96.6,7,7,7
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,89.2,4,4,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Line,102.7,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,2,,2
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,2,,2
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,48.8,4,4,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,80,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,3,,3
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Line,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Line,101.6,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,68.1,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Pop Up,70.1,1,,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Pop Up,77.2,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,76.7,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,2,,2
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,73.4,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,86.7,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Pop Up,69.9,1,,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,73.7,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,2,,2
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,2,,2
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,82.4,5,5,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Batter hits self,68.3,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,66.7,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,78.3,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,76.6,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,75,5,5,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Line,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Pop Up,68.7,1,,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,2,,2
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,2,,2
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,68.3,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,74.2,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,74.9,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,79.5,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,74,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Line,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,3,,3
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,96,4,4,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,62.9,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,3,,3
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Pop Up,,1,,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,81.7,3,,3
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,85.1,5,5,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,82,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,78.7,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,50,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,87.9,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,63.3,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,61.8,2,,2
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,69.8,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,53.8,3,3,3
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,76.9,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,2,,2
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,72.2,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,75.4,3,,3
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,102.3,7,7,7
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Pop Up,79.8,1,,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,98,4,4,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,60.8,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,62.6,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,79.6,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Line,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,107,4,4,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,81.2,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,77.6,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,2,4,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,5,,5
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,74.8,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,67.8,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Line,77.9,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,81.4,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,4,,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Fly,,2,4,4
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Ground,,1,1,1
Pittsburgh Pirates VS Milwaukee Brewers,2019-06-01,Line,77.8,5,5,5
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,56.1,3,,3
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Line,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Batter hits self,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Pop Up,67.7,1,,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,69,3,,3
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,72.2,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Pop Up,65.6,1,,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,89,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,,2,,2
Milwaukee Brewers vs New York Mets,2019-05-04,Batter hits self,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,98.5,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,65.5,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,58.6,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,108.7,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,68.7,5,5,5
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,65.8,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,43.8,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Line,,1,1,1
