"food","characteristic","p_values"
"RAWTOMATOESFREQ","Jewish",0.00628035
"GROUP_ICE_TEA_HOME_NO_SUGAR_TOTAL_GRAMS","yesCrash",0.00636757
"ZINCAMOUNT","smoke_often",0.00661549
"VITAMINCYEARS","atheist",0.0067496
"GROUP_PEANUTS_OTHER_NUTS_SEEDS_TOTAL_GRAMS","cancer",0.00687619
"SALADDRESSINGSQUAN","smoke_often",0.00699149
"GROUP_WINE_RED_TOTAL_GRAMS","quit_smoking",0.0070214
"PF_LEGUMES","belly",0.00710945
"V_LEGUMES","belly",0.0071404
"SPORTSDRINKSQUAN","mathReading",0.00721718
"GROUP_COFFEE_CAFFEINE_TOTAL_GRAMS","currently_smoke",0.00726675
"GROUP_SUGARYBEVG_TOTAL_KCAL","diabetes",0.00730541
"BANANASQUAN","readingMath",0.00731974
"EXERGYMFREQ","smoke_often",0.00735867
"GROUP_HI_C_CRANBERRY_JUICE_TANG_TOTAL_GRAMS","noCrash",0.00738161
"SUP_ZINC","atheist",0.00746249
"SUP_B12","belly",0.00766867
"GROUP_SOLID_TOTAL_FREQUENCY","Jewish",0.00767994
"GROUP_YOGURT_PLAIN_LOW_FAT_TOTAL_GRAMS","yesCrash",0.00772126
"HEAVYWORKTIME","dog",0.00772213
"OTHERCANDIESQUAN","mathReading",0.00776129
"GREENSALADQUAN","left_hand",0.00790099
"COOKEDGREENSQUAN","quit_smoking",0.00792936
"GROUP_OTHER_BEANS_LENTIL_CHILI_NOT_RICE_AND_BEANS_TOTAL_GRAMS","belly",0.00795559
"COOKEDGREENSQUAN","cancer",0.00816118
"SUP_OLEIC","smoke_often",0.00823307
"GROUP_SANDWICH_BUNS_MIX_TOTAL_GRAMS","never_smoked",0.00823586
"GROUP_SANDWICH_BUNS_MIX_TOTAL_GRAMS","ever_smoked",0.00823586
"MYRIC","mathReading",0.0082407
"SUP_ALA","left_hand",0.00825543
"SUP_LZ","yesCrash",0.00825543
"SUP_ALA","yesCrash",0.00825543
"GROUP_CHEX_OTHER_TOTAL_GRAMS","left_hand",0.00825543
"GROUP_CHEX_OTHER_TOTAL_GRAMS","yesCrash",0.00825543
"GROUP_COOK_FAT_MARGARINE_TUB_TOTAL_GRAMS","left_hand",0.00825543
"APPLEJACKSTYPE","left_hand",0.00825543
"COOKINGFATSOFTTUBMARG","left_hand",0.00825543
"CHEXOTHERTYPE","left_hand",0.00825543
"LIFETYPE","left_hand",0.00825543
"COOKINGFATLARD","left_hand",0.00825543
"FLAXHEMPSEEDOILTYPE","left_hand",0.00825543
"CHEXOTHERTYPE","yesCrash",0.00825543
"LIFETYPE","yesCrash",0.00825543
"COOKINGFATLOWFATMARG","yesCrash",0.00825543
"COOKINGFATLARD","yesCrash",0.00825543
"ANTIOXIDANTCOMBOYEARS","yesCrash",0.00825543
"FLAXHEMPSEEDOILTYPE","yesCrash",0.00825543
"GROUP_APPLE_JACKS_COOKIE_CRISP_TOTAL_GRAMS","left_hand",0.00825543
"GROUP_COOK_FAT_ANIMAL_FAT_TOTAL_GRAMS","left_hand",0.00825543
"GROUP_COOK_FAT_ANIMAL_FAT_TOTAL_GRAMS","yesCrash",0.00825543
"GROUP_LIFE_TOTAL_GRAMS","left_hand",0.00825543
"GROUP_LIFE_TOTAL_GRAMS","yesCrash",0.00825543
"GROUP_COOK_FAT_MARGARINE_LOW_FAT_TOTAL_GRAMS","yesCrash",0.00825543
"GROUP_WHOLE_GRAIN_CRACKERS_LOW_FAT_TOTAL_GRAMS","atheist",0.00826289
"TORTILLASQUAN","heart_disease",0.00831388
"SUP_VITD","atheist",0.00834924
"BEEFPORKDISHQUAN","right_hand",0.00835294
"GROUP_SOLID_COUNT","favCable",0.00843491
"WHOLEGRAINCRACKERSQUAN","dog",0.00846579
"LEMONADEQUAN","dog",0.00855486
"BIOCHANIN_A","quit_smoking",0.00860518
"V_OTHER","quit_smoking",0.00860677
"ICECREAMFREQ","Jewish",0.008642
"MILKONCEREALFREQ","right_hand",0.00876115
"F18D3CN3","yesCrash",0.00884025
"GROUP_ALCOHOLICBEVERAGES_TOTAL_KCAL","currently_smoke",0.00885008
"PSVEGOTH","quit_smoking",0.00887303
"CARROTSQUAN","cancer",0.00887744
"GROUP_VEGETABLE_SOUP_TOTAL_GRAMS","quit_smoking",0.00892167
"BANANASQUAN","unfavCable",0.0089418
"FOLICACIDAMOUNT","atheist",0.00896633
"OTHERNOODLESQUAN","favCable",0.00897221
"A_BEV_KC","currently_smoke",0.0090085
"GROUP_BEER_REGULAR_TOTAL_GRAMS","smoke_rarely",0.00905724
"DT_ACARO","smoke_often",0.0090913
"PANCAKEQUAN","belly",0.00916994
"SUP_OM_3","currently_smoke",0.00918841
"GROUP_SPECIAL_K_PLAIN_TOTAL_GRAMS","left_hand",0.00919026
"SALADDRESSINGSFREQ","uhCrash",0.00921801
"VITAMINB6YEARS","belly",0.00924651
"F18D2TT","never_smoked",0.00928254
"F18D2TT","ever_smoked",0.00928254
"CHILDCARETIME","rash",0.00939137
"OTHERVEGGIESQUAN","quit_smoking",0.00943967
"ZINCAMOUNT","atheist",0.00952101
"REFRIEDBEANSQUAN","belly",0.0095217
"COFFEEQUAN","currently_smoke",0.00964802
"GROUP_CABBAGE_SLAW_CHINESE_CABBAGES_TOTAL_GRAMS","belly",0.00968729
"FIBERSUPPYEARS","Jewish",0.00983973
"GROUP_WINE_WHITE_TOTAL_GRAMS","Dems",0.00985639
"BREAKFASTSANDWICHQUAN","Dems",0.00985639
"PEACHESQUAN","Dems",0.00985639
"GROUP_COOKIES_LOW_FAT_TOTAL_GRAMS","yesCrash",0.00986528
"F18D3CN3","left_hand",0.00989446
"HICFREQ","noCrash",0.0102227
"OTHERNUTSFREQ","cancer",0.0103197
"GROUP_OTHER_FISH_DISHES_LOW_OMEGA3_TOTAL_GRAMS","dog",0.0103928
"GROUP_BROWN_RICE_DISHES_WITH_TOTAL_GRAMS","dog",0.010472
"DONUTSQUAN","yesCrash",0.0104893
"PAC_1","mathReading",0.0105617
"SUP_OM_6","yesCrash",0.010566
"SUP_OM_6","left_hand",0.010566
"OTHERPIESQUAN","noCrash",0.0106457
"VITAMINB6AMOUNT","atheist",0.0107769
"KAEMF","belly",0.0109843
"GROUP_BAGELS_WHITE_TOTAL_GRAMS","currently_smoke",0.0109932
"PF_SEAFD_LOW","dog",0.0110813
"SUP_FOL","quit_smoking",0.0111262
"SODAFREQ","diabetes",0.011162
"GROUP_BAGELS_WHITE_TOTAL_GRAMS","never_smoked",0.0112166
"GROUP_BAGELS_WHITE_TOTAL_GRAMS","ever_smoked",0.0112166
"LIGHTHOUSETIME","favCable",0.011286
"GROUP_REFRIED_BEANS_HUMMUS_TOTAL_GRAMS","quit_smoking",0.0113037
"VIGMINS","Dems",0.011343
"VITAMINCQUAN","Dems",0.0114122
"GROUP_A_SUGBEV_TOTAL_GRAMS","diabetes",0.0114344
"PF_MEAT","smoke_often",0.0114721
"QUERCE","mathReading",0.0115867
"TOCTRB","cancer",0.0115998
"GROUP_NON_FAT_SKIM_MILK_TOTAL_GRAMS","favCable",0.011618
"USEVITSREGULARLY","atheist",0.0117054
"SUP_VK","readingMath",0.0117273
"YOGURTFREQ","currently_smoke",0.0117572
"COFFEEDRINKSQUAN","rash",0.0117755
"GROUP_BROCCOLI_BRUSSEL_SPROUTS_CHINESE_BROCCOLI_TOTAL_GRAMS","belly",0.0118425
"GROUP_LOW_CAL_KOOLAID_TOTAL_GRAMS","left_hand",0.0121595
"GROUP_OYSTERS_TOTAL_GRAMS","ever_smoked",0.0121916
"GROUP_OYSTERS_TOTAL_GRAMS","never_smoked",0.0121916
"COLDCEREALFREQ","right_hand",0.0122491
"COOKIESFREQ","currently_smoke",0.0123961
"GROUP_SOY_MILK_TOTAL_GRAMS","left_hand",0.0124573
"GROUP_SOY_MILK_TOTAL_GRAMS","yesCrash",0.0124573
"MN","mathReading",0.0124936
"ISORHMNTN","quit_smoking",0.0126599
"MAYOQUAN","left_hand",0.012676
"MARGARINEQUAN","yesCrash",0.0126785
"VITAMINEQUAN","atheist",0.0127606
"GROUP_SALAD_DRESSING_LOW_FAT_TOTAL_GRAMS","currently_smoke",0.0127912
"HAMBURGERQUAN","unfavCable",0.012906
"WINETYPE","heart_disease",0.0129525
"MILKONCEREALFREQ","uhCrash",0.013021
"MAYOTYPE","diabetes",0.0130589
"VITAMINB12YEARS","belly",0.0131684
"POTATOESFREQ","cancer",0.0132241
"F20D3N3","left_hand",0.0133294
"ANTIOXIDANTCOMBOAMOUNT","yesCrash",0.0134444
"PASTRIESQUAN","left_hand",0.0134911
"APPLESFREQ","currently_smoke",0.013753
"YOGURTKIND","ever_smoked",0.0138898
"YOGURTKIND","never_smoked",0.0138898
"T_FLAVONOLS","mathReading",0.013899
"MAYOQUAN","right_hand",0.0139995
"COCKTAILSQUAN","smoke_often",0.0140035
"OTHERFISHQUAN","dog",0.0140423
"LIGHTHOUSETIME","readingMath",0.014178
"OTHERCHICKENDISHQUAN","right_hand",0.0141914
"F18D2TT","rash",0.014271
"REFRIEDBEANSQUAN","smoke_often",0.0142813
"A_DRINKS","currently_smoke",0.014335
"GROUP_POULTRY_UNCOATED_NO_SKIN_TOTAL_GRAMS","readingMath",0.0143529
"YOGURTFREQ","never_smoked",0.0143993
"YOGURTFREQ","ever_smoked",0.0143993
"PF_LEGUMES","quit_smoking",0.0144422
"DT_ALCO","currently_smoke",0.0145403
"OTHERNUTSFREQ","atheist",0.0145469
"ENERGYDRINKSTYPE","currently_smoke",0.0145746
"BISCUITQUAN","dog",0.0146333
"PAC_2","mathReading",0.014665
"BERRIESFREQ","unfavCable",0.0146991
"V_LEGUMES","quit_smoking",0.0147115
"OTHERNOODLESFREQ","yesCrash",0.0148334
"PSVEGOTH","never_smoked",0.0149054
"PSVEGOTH","ever_smoked",0.0149054
"GROUP_SODA_DIET_CAFFEINE_TOTAL_GRAMS","diabetes",0.0149672
"GROUP_CARROTS_CARROT_MIXES_TOTAL_GRAMS","cancer",0.0149679
"COFFEEQUAN","ever_smoked",0.015021
"COFFEEQUAN","never_smoked",0.015021
"GROUP_VEAL_LAMB_GOAT_GAME_TOTAL_GRAMS","favCable",0.0150564
"SLOWWALKFREQ","Dems",0.015081
"GROUP_BAGELS_WHITE_TOTAL_GRAMS","unfavCable",0.0151259
"CAKESQUAN","left_hand",0.0153346
"EPICATEGC3G","dog",0.015395
"TOMATOJUICEQUAN","smoke_often",0.0154447
"GROUP_SALAD_DRESSING_REGULAR_TOTAL_GRAMS","uhCrash",0.015459
"ZINCYEARS","ever_smoked",0.0155063
"ZINCYEARS","never_smoked",0.0155063
"COOKINGFATCANOLA","heart_disease",0.0155175
"COFFEEFREQ","never_smoked",0.0155968
"COFFEEFREQ","ever_smoked",0.0155968
"GROUP_SUGARYBEVG_TOTAL_FREQUENCY","diabetes",0.0156027
"SODAQUAN","currently_smoke",0.0156428
"GALCATEGC","dog",0.0156598
"GROUP_OJ_GRAPEFRUIT_JUICE_NOT_CALCIUM_FORTIFIED_TOTAL_GRAMS","heart_disease",0.0157375
"GROUP_BEER_LIGHT_LOW_CARB_TOTAL_GRAMS","yesCrash",0.0158002
"GROUP_POPCORN_AIR_POP_FAT_FREE_TOTAL_GRAMS","atheist",0.0158201
"EGGROLLQUAN","heart_disease",0.0158934
"EXERGYMTIME","smoke_often",0.0159169
"GROUP_WHITE_RICE_DISHES_WITH_TOTAL_GRAMS","smoke_rarely",0.0159826
"GROUP_COFFEE_CAFFEINE_TOTAL_GRAMS","ever_smoked",0.0159953
"GROUP_COFFEE_CAFFEINE_TOTAL_GRAMS","never_smoked",0.0159953
"JOBWALKFREQ","smoke_often",0.016006
"BUTTERFREQ","rash",0.0160525
"ICECREAMTYPE","unfavCable",0.0162182
"OTHERFRUITJUICESQUAN","cat",0.0162787
"OTHERBREADSTYPE","unfavCable",0.016304
"ICEDTEAFREQ","atheist",0.0163225
"CHOLNFR","favCable",0.0163838
"CAMD5","yesCrash",0.0163983
"VITAMINEAMOUNT","atheist",0.0164891
"GROUP_BAGELS_WHITE_TOTAL_GRAMS","left_hand",0.0164921
"SWEETPOTATOESFREQ","mathReading",0.0165629
"SUCS","currently_smoke",0.0167867
"F18D1TN7","currently_smoke",0.0168625
"GROUP_PICKLES_SAUERKRAUT_KIMCHI_TOTAL_GRAMS","Jewish",0.0169191
"SUP_ZINC","smoke_often",0.0170295
"LEMONADEFREQ","uhCrash",0.0171147
"GREENSALADQUAN","right_hand",0.0172069
"GROUP_WHITE_POTATOES_NOT_FRIED_TOTAL_GRAMS","cancer",0.017404
"COCOAFREQ","right_hand",0.0174166
"GROUP_CREAM_CHEESE_SOUR_CREAM_DIP_TOTAL_GRAMS","smoke_often",0.0174428
"BEEFPORKDISHQUAN","left_hand",0.0174627
"EPICATECG3","dog",0.0175128
"TORTILLASTYPE","dog",0.0175271
"ICEDTEAFREQ","heart_disease",0.0176174
"GROUP_ENERGY_DRINKS_SUGAR_TOTAL_GRAMS","left_hand",0.0177187
"CAKESQUAN","right_hand",0.0177339
"POTATOESQUAN","right_hand",0.0177364
"GROUP_ICE_TEA_HOME_SUGAR_TOTAL_GRAMS","quit_smoking",0.0178085
"CANNEDFRUITFREQ","Jewish",0.0178206
"TUNAQUAN","left_hand",0.0178987
"APPLESFREQ","smoke_often",0.0180388
"GROUP_FRIED_FISH_FISH_STICKS_SANDWICH_BREADED_FILLETS_TOTAL_GRAMS","Dems",0.018046
"FOLICACIDYEARS","belly",0.0181024
"CATECHIN","mathReading",0.0181626
"V_OTHER","never_smoked",0.0182119
"V_OTHER","ever_smoked",0.0182119
"VITAMINCQUAN","atheist",0.018306
"COOKINGFATPAMORNONE","heart_disease",0.0183891
"SALADDRESSINGSTYPE","rash",0.018459
"EPICATEGC","dog",0.018467
"AV_TOT_S","quit_smoking",0.0185241
"PEANUTBUTTERQUAN","belly",0.0185471
"PSVEGNBP","quit_smoking",0.0185471
"LEMONADETYPE","uhCrash",0.0187092
"BUNSQUAN","smoke_often",0.0187365
"GROUP_COOK_FAT_BUTTER_MARGARINE_BLEND_TOTAL_GRAMS","right_hand",0.0187365
"PUMPKINPIEQUAN","right_hand",0.0187365
"SPECIALKPLAINTYPE","right_hand",0.0187365
"COOKINGFATHALF","right_hand",0.0187365
"BROWNRICEFREQ","Jewish",0.0187453
"WINEFREQ","favCable",0.0187687
"SLOWWALKFREQ","neutralCable",0.0188235
"T_FLAVONOIDS","mathReading",0.0188255
"F_JUICE","Dems",0.0188736
"OTHERFISHFREQ","dog",0.0189267
"F18D2I","smoke_often",0.019173
"GROUP_TORTILLAS_CORN_TOTAL_GRAMS","right_hand",0.0192026
"FIBERSUPPAMOUNT","atheist",0.0192933
"ISORHMNTN","belly",0.019298
"GROUP_GREENS_SPINACH_COOKED_TOTAL_GRAMS","belly",0.0193331
"BEANSFREQ","favCable",0.0193353
"TUNAFREQ","cat",0.0194295
"A_BEAN_S","belly",0.0195056
"ROASTCHICKENFREQ","neutralCable",0.0195189
"PSLEGSOY","belly",0.0196146
"COUMESTROL","dog",0.0196255
"AA_BEV","diabetes",0.0198079
"ZINCAMOUNT","never_smoked",0.0198128
"ZINCAMOUNT","ever_smoked",0.0198128
"DECAFHOTTEATYPE","cat",0.0198302
"OTHERUNSWEETCEREALTYPE","heart_disease",0.0198302
"BREAKFASTSANDWICHQUAN","diabetes",0.0198302
"GROUP_PORK_FAT_ON_TOTAL_GRAMS","currently_smoke",0.0199534
"LACS","dog",0.0199877
