name,team,games,category,desc.,year,source
W. Saunders,IND,8,"PEDs, repeated offense",,2013,http://espn.go.com/nfl/story/_/id/9509539/indianapolis-colts-release-weslye-saunders
H. Thomas,FREE,8,"PEDs, repeated offense",,2010,http://profootballtalk.nbcsports.com/2010/07/01/hollis-thomas-career-could-end-with-suspension/
R. Tucker,CLE,8,"PEDs, repeated offense",,2010,http://profootballtalk.nbcsports.com/2010/03/07/ryan-tucker-jason-ferguson-suspended-eight-games-each/
C. Henry,CIN,8,Personal conduct,Multiple arrests,2007,http://sports.espn.go.com/nfl/news/story?id=2832015
T. Johnson,BAL,8,Personal conduct,"Arrest, possession of weapon",2006,http://profootballtalk.nbcsports.com/2014/06/24/artist-formerly-known-as-tank-johnson-friends-with-roger-goodell/
J. Blackmon,JAX,8,"Substance abuse, repeated offense",,2013,http://www.cbssports.com/nfl/eye-on-football/24171316/jaguars-wr-justin-blackmon-suspended-for-the-rest-of-2013-season
T. Couch,JAX,6,PEDs,,2007,http://www.nytimes.com/2007/10/05/sports/football/05nfl.html
K. Lang,DEN,6,PEDs,,2007,http://www.nytimes.com/2007/10/05/sports/football/05nfl.html
R. McBean,DEN,6,PEDs,"Alleged ""non-human"" urine in system",2012,http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended
D.J. Williams,DEN,6,PEDs,"Alleged ""non-human"" urine in system",2012,http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended
W. Hill,NYG,6,"Substance abuse, repeated offense",,2014,http://espn.go.com/new-york/nfl/story/_/id/11007693/will-hill-new-york-giants-suspended-six-games-violating-nfl-substance-abuse-policy
A. Haynesworth,TEN,5,In-game violence,Stomping on player,2006,http://sports.espn.go.com/nfl/news/story?id=2610577
B. Sochia,MIA,5,PEDs,,1990,http://articles.sun-sentinel.com/1990-08-24/sports/9002100425_1_alfred-oglesby-shula-brian-sochia
T. Pryor,OAK,5,Personal conduct,Improper gifts while in college,2011,http://espn.go.com/nfl/story/_/id/7040047/nfl-upholds-terrelle-pryor-5-game-ban-cites-integrity
M. Ariey,GB,4,PEDs,,1989,http://www.utsandiego.com/uniontrib/20080921/news_1s21nfl89.html
O. Ayanbadejo,CHI,4,PEDs,,2007,http://sports.espn.go.com/nfl/news/story?id=2967677
S. Bailey,STL,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000349785/article/st-louis-rams-stedman-bailey-suspended-four-games
A. Barbre,CAR,4,PEDs,,2012,http://seattletimes.com/html/localnews/2018272778_apfbnseahawksbarbresuspended.html
T. Bennett,DET,4,PEDs,,2001,http://articles.latimes.com/2001/dec/15/sports/sp-15083
J. Black,WAS,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000113061/article/jordan-black-of-redskins-suspended-four-games-for-peds
D. Blackstock,CIN,4,PEDs,,2008,http://sports.espn.go.com/nfl/news/story?id=3631111
B. Bolden,BAL,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000092510/article/brandon-bolden-suspended-for-violating-drug-policy
D. Boston,MIA,4,PEDs,,2004,http://sports.espn.go.com/nfl/news/story?id=1939250
D. Bowe,KC,4,PEDs,,2009,http://sports.espn.go.com/nfl/news/story?id=4663877
D. Brown,HOU,4,PEDs,,2012,http://sports.espn.go.com/nfl/news/story?id=5600928
G. Brown,WAS,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000051195/article/garrett-brown-of-san-diego-chargers-suspended-four-games
R. Buchanan,JAX,4,PEDs,,2002,http://a.espncdn.com/nfl/news/2002/0911/1430323.html
B. Buckner,CAR,4,PEDs,,2003,http://a.espncdn.com/nfl/columns/pasquarelli_len/1455668.html
T. Burse,SEA,4,PEDs,,1989,http://articles.chicagotribune.com/1989-08-30/sports/8901090097_1_steroid-drug-policy-league-spokesman-joe-browne
L. Bush,KC,4,PEDs,,2002,http://a.espncdn.com/nfl/columns/pasquarelli_len/1457788.html
B. Chamberlain,MIN,4,PEDs,,2003,http://a.espncdn.com/nfl/news/2003/0711/1579603.html
J. Chatman,NYJ,4,PEDs,,2012,http://www.nfl.com/news/story/09000d5d80a65c4c/article/chatman-suspended-four-games-for-violating-nfls-steroids-policy
M. Cloud,KC,4,PEDs,,2003,http://a.espncdn.com/nfl/columns/pasquarelli_len/1529903.html
J. Cooper,OAK,4,PEDs,,2007,http://sports.espn.go.com/nfl/news/story?id=2949591
S. Cooper,SD,4,PEDs,,2008,http://sports.espn.go.com/nfl/news/story?id=3348671
J. Cunningham,NE,4,PEDs,,2012,http://espn.go.com/boston/nfl/story/_/id/8679955/jermaine-cunningham-new-england-patriots-suspended-four-games-violating-nfl-policy-performance-enhancing-substances
B. Cushing,HOU,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5172060
S. Davis,ARI,4,PEDs,,1997,http://www.apnewsarchive.com/1997/Falcons-guard-Scott-Davis-suspended-by-NFL-for-steroid-abuse/id-1e82e1a0780f24c6559a167118382f28
T. Doctor,BUF,4,PEDs,,1989,http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html
S. Doctor,BUF,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
M. Douglass,DET,4,PEDs,,1989,http://www.utsandiego.com/uniontrib/20080921/news_1s21nfl89.html
J. Dunbar,STL,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000229913/article/st-louis-rams-jolonn-dunbar-suspended-four-games
R. Edwards,MIN,4,PEDs,,2007,http://www.twincities.com/ci_7641964?source=rss
B. Eldridge,STL,4,PEDs,,2012,http://www.nfl.com/news/story/09000d5d82a4a506/article/brody-eldridge-st-louis-rams-te-suspended-four-games
L. Flowers,DEN,4,PEDs,,2004,http://sports.espn.go.com/nfl/news/story?id=1585992
E. Gant,CIN,4,PEDs,,2010,http://blog.azcardinals.com/2010/06/21/gant-suspended-four-games/
D. Graham,HOU,4,PEDs,,2002,http://www.nytimes.com/2002/12/19/sports/nfl-texans-lineman-suspended.html
L. Grant,FREE,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000161912/article/larry-grant-suspended-four-games-for-violating-nfl-drug-policy
V. Green,SD,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended
S. Gregory,NYJ,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5648428
C. Griffin,WAS,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/8709862/cedric-griffin-washington-redskins-suspended-four-games
W. Guy,SEA,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000098505/article/winston-guy-of-seahawks-suspended-for-illegal-substances
J. Haden,CLE,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000060490/article/joe-haden-of-cleveland-browns-suspended-four-games
A. Hall,TEN,4,PEDs,,2011,http://espn.go.com/nfl/story/_/id/6927311/tennessee-titans-ahmard-hall-suspended-4-games-nfl
J. Hanson,PHI,4,PEDs,,2009,http://sports.espn.go.com/nfl/news/story?id=4645055
J. Hawley,ATL,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000097773/article/joe-hawley-of-atlanta-falcons-suspended-four-games-by-nfl
K. Henderson,SF,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
C. Henry,TEN,4,PEDs,,2007,http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html
W. Hill,NYG,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000078540/article/will-hill-suspended-by-nfl-for-violating-ped-policy
A. Holmes,OAK,4,PEDs,,2013,http://www.cbssports.com/nfl/eye-on-football/22915004/raiders-wr-andre-holmes-suspended-for-ped-violation
B. Irvin,DET,4,PEDs,,2013,http://espn.go.com/nfl/story/_/id/9287069/bruce-irvin-seattle-seahawks-suspended-four-games
A. Jackson,BAL,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000225102/article/ravens-asa-jackson-banned-8-games-for-violating-ped-policy
R. James,ATL,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5364259
M. Jaworski,BUF,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
J. Jenkins,WAS,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000221583/article/redskins-jarvis-jenkins-suspended-4-games-for-peds
T. Jervey,SF,4,PEDs,,1999,http://www.sfgate.com/sports/article/49ers-Notebook-Jervey-Suspended-for-Steroid-Use-2901850.php
L. Johnson,PHI,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000367649/article/eagles-lane-johnson-suspended-four-games-for-peds
D. Jordan,MIA,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000363402/article/dion-jordan-suspended-four-games-for-ped-violation
J. Kennedy,NYG,4,PEDs,,2011,http://espn.go.com/new-york/nfl/story/_/id/7089792/new-york-giants-dt-jimmy-kennedy-suspended-nfl
V. Kirk,STL,4,PEDs,,1989,http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends
J. Knott,PHI,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000339592/article/jake-knott-suspended-for-violating-substance-abuse-policy
L. Lawton,OAK,4,PEDs,,2009,http://sports.espn.go.com/nfl/news/story?id=4771154
M. Lehr,ATL,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2629991
T. Lewis,WAS,4,PEDs,,2011,http://www.washingtonpost.com/blogs/football-insider/post/report-redskins-trent-williams-and-fred-davis-to-be-suspended-for-four-games/2011/12/04/gIQAZJ6tSO_blog.html
D. Love,MIN,4,PEDs,,2013,http://www.cbssports.com/nfl/eye-on-football/22974075/vikings-ol-demarcus-love-suspended-for-ped-violation
D. Lutui,TEN,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000150698/article/deuce-lutui-suspended-by-nfl-for-drug-violation
A. Madise,DEN,4,PEDs,,2005,http://sports.espn.go.com/nfl/news/story?id=1974527
R. Mathis,IND,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000350988/article/colts-robert-mathis-suspended-four-games-for-ped
G. McRath,TEN,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5285379
S. Merriman,SD,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2635475
G. Miller,CHI,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000209177/article/chicago-bears-gabe-miller-evan-rodriguez-apologize
J. Miller,CHI,4,PEDs,,1999,http://www.nytimes.com/1999/12/02/sports/pro-football-bears-lose-miller-to-steroid-suspension.html
N. Miller,STL,4,PEDs,,2012,http://profootball.scout.com/story/1159088-nick-miller-suspended-four-games
D. Moch,CIN,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/8048956/dontay-moch-cincinnati-bengals-suspended-four-games-peds
J. Moffitt,CLE,4,PEDs,,2011,http://seattletimes.com/html/seahawksblog/2016949836_seahawksrookiejohnmoffittsuspendedforperformanceenhancingdrugs.html
E. Moore,NYG,4,PEDs,,1993,http://www.nytimes.com/1993/07/30/sports/pro-football-giants-moore-faces-ban-by-nfl.html
S. Morris,MIA,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2568282
M. Neal,GB,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/7682945/nfl-suspends-mike-neal-green-bay-packers-1st-four-games
S. Nealy,MIN,4,PEDs,,2014,http://espn.go.com/nfl/story/_/id/11204290/spencer-nealy-minnesota-vikings-suspended-four-games-ped-use
A. Neblett,CAR,4,PEDs,,2012,http://www.nfl.com/news/story/09000d5d82aa5c20/article/andre-neblett-suspended-four-games-for-ped-violation
K. Newman,ATL,4,PEDs,,2003,http://sports.espn.go.com/espn/wire?id=1606334
A. Odom,CIN,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5687593
C. Pace,NYJ,4,PEDs,,2009,http://sports.espn.go.com/nfl/news/story?id=4303126
J. Peppers,CAR,4,PEDs,,2002,http://www.nytimes.com/2002/12/04/sports/pro-football-peppers-to-serve-four-game-suspension.html
K. Peterson,DEN,4,PEDs,,2007,http://www.denverpost.com/ci_6314165
L. Petitgout,TB,4,PEDs,,2008,http://tbo.com/sports/sports/2008/aug/20/sp-petitgout-violated-nfl-steroids-policy-ar-136563/
A. Pettis,STL,4,PEDs,,2014,http://www.foxsports.com/nfl/story/St-Louis-Rams-wide-receiver-Austin-Pettis-suspended-four-games-for-NFL-drug-policy-violation-122111?gt1=39002
A. Pinnock,SD,4,PEDs,,2004,http://www.utsandiego.com/news/2004/Nov/10/chargers-fullback-andrew-pinnock-suspended-for/
R. Putzier,SF,4,PEDs,,1989,http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends
R. Razzano,TB,4,PEDs,,2005,http://sports.espn.go.com/espn/wire?section=nfl&id=2163692
L. Reynolds,JAX,4,PEDs,,2013,http://espn.go.com/nfl/story/_/id/9967595/laroy-reynolds-jacksonville-jaguars-suspended-4-games-positive-test
G. Robinson,ARI,4,PEDs,,2012,http://profootballtalk.nbcsports.com/2012/09/22/gerell-robinson-gets-four-game-suspension/
S. Rogers,DET,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2630061
T. Sash,NYG,4,PEDs,,2012,http://espn.go.com/new-york/nfl/story/_/id/8219721/tyler-sash-new-york-giants-suspended-four-games
T. Sauerbrun,DEN,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2512355
Q. Saulsberry,DEN,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000217875/article/quentin-saulsberry-of-denver-broncos-had-dui-arrest
O. Scandrick,DAL,4,PEDs,MDMA,2014,http://espn.go.com/dallas/nfl/story/_/id/11341354/orlando-scandrick-dallas-cowboys-suspended-four-games-performance-enhancing-drugs
S. Shanle,STL,4,PEDs,,2003,http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html
D. Shelton,CHI,4,PEDs,,2002,http://www.nytimes.com/2001/10/07/sports/pro-football-notebook-nfl-is-seeing-fewer-flaws-in-testing-players-for-drugs.html
T.J. Slaughter,JAX,4,PEDs,,2002,http://articles.orlandosentinel.com/2002-09-07/sports/0209070474_1_slaughter-coleman-tennessee-titans
R. Solt,PHI,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
B. Spikes,NE,4,PEDs,,2010,http://sports.espn.go.com/boston/nfl/news/story?id=5906897
S. Springs,SEA,4,PEDs,,2001,http://articles.philly.com/2001-11-28/sports/25320203_1_seahawks-springs-lamar-chapman-browns-president-carmen-policy
J. Steed,PIT,4,PEDs,,1995,http://articles.chicagotribune.com/1995-10-24/sports/9510240320_1_nose-tackle-joel-steed-bernard-williams-nfl
M. Stevens,PHI,4,PEDs,,1997,http://articles.philly.com/2014-07-02/sports/51005838_1_lane-johnson-groveton-linebacker-jake-knott
M. Stroud,JAX,4,PEDs,,2007,http://sports.espn.go.com/nfl/news/story?id=3088185
A. Talib,TB,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000079902/article/aqib-talib-of-buccaneers-suspended-four-games-for-adderall-use
H. Taylor,CHI,4,PEDs,,1999,http://www.nytimes.com/2001/10/07/sports/pro-football-notebook-nfl-is-seeing-fewer-flaws-in-testing-players-for-drugs.html
H. Thomas,NO,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2687451
J. Thomas,IND,4,PEDs,,2011,http://espn.go.com/nfl/story/_/id/7062953/indianapolis-colts-guard-jaime-thomas-banned-4-games-violating-steroid-policy
R. Tucker,CLE,4,PEDs,,2007,http://www.nfl.com/news/story/09000d5d8012fe77/article/browns-offensive-lineman-ryan-tucker-suspended-4-games-for-violating-nfl-steroid-policy
K. Uecker,GB,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
A. Ulmer,MIN,4,PEDs,,1997,http://www.apnewsarchive.com/1997/Vikings-rookie-suspended-for-steroid-use/id-6fa45c120b20b6e4d035442c8a62da30
J. Waddy,GB,4,PEDs,,1998,http://a.espncdn.com/nfl/columns/pasquarelli_len/1403350.html
J. Welbourn,KC,4,PEDs,,2005,http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=2150559
L. West,NYG,4,PEDs,,1999,http://static.espn.go.com/nfl/news/1999/1201/205894.html
P. Wiggins,PIT,4,PEDs,,1998,http://alb.merlinone.net/mweb/wmsql.wm.request?oneimage&imageid=5942417
B. Williams,CIN,4,PEDs,,2014,http://www.foxsports.com/nfl/story/Cincinnati-Bengals-Bobbie-Williams-suspension-substance-abuse-policy-090311?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxsports%2FRSS%2FNFL+(FOXSports.com+News+for+NFL)
K. Winslow,NYJ,4,PEDs,,2013,http://www.nfl.com/news/story/0ap2000000260647/article/kellen-winslow-suspended-4-games-for-ped-violation
E. Wright,TB,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/8680228/eric-wright-tampa-bay-buccaneers-suspended-4-games
F. Wycheck,WAS,4,PEDs,,1994,http://articles.philly.com/1994-11-30/sports/25868967_1_frank-wycheck-steroids-nfl-policy
T. Zbikowski,FREE,4,PEDs,,2013,http://espn.go.com/nfl/story/_/id/9660103/nfl-suspends-free-agents-tom-zbikowski-brandon-mcdonald
L. Ziemba,CAR,4,PEDs,,2012,http://blogs.charlotte.com/panthers/2012/10/ziemba-suspended-4-games-for-violating-ped-policy.html
W. Welker,DEN,4,PEDs,,2014,http://www.usatoday.com/story/sports/nfl/broncos/2014/09/02/wes-welker-suspended-four-games-amphetamine-denver/14992795/
J. Allen,KC,4,Personal conduct,"DUI arrest, multiple",2007,http://sports.espn.go.com/nfl/news/story?id=2851494
J. Cooper,CAR,4,Personal conduct,"DUI arrest, drugs",2003,http://www.usatoday.com/sports/nfl/arrests/all/car/all/
M. Goodson,NYJ,4,Personal conduct,"Arrest, possession of weapon and marijuana",2013,http://espn.go.com/new-york/nfl/story/_/id/9603404/mike-goodson-new-york-jets-suspended-4-games
C. Henry,CIN,4,Personal conduct,Mulitple arrests,2007,http://www.nfl.com/news/story/09000d5d80b58799/article/bengals-wr-henry-activated-after-serving-fourgame-suspension
B. McKinnie,MIN,4,Personal conduct,"Accused of disorderly conduct, resisting arrest",2008,http://sports.espn.go.com/nfl/news/story?id=3560135
B. Roethlisberger,PIT,4,Personal conduct,Sexual assault,2012,http://www.nfl.com/news/story/09000d5d81a3eb23/article/goodell-reduces-roethlisbergers-suspension-to-four-games
E. Warfield,KC,4,Personal conduct,"DUI arrest, multiple",2005,http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=2106473
M. Prater,DEN,4,Substance abuse,Alcohol-related,2014,http://www.nfl.com/news/story/0ap3000000383065/article/broncos-matt-prater-will-be-suspended-four-games
F. Alexander,HOU,4,Substance abuse,,2014,http://espn.go.com/nfl/story/_/id/10873670/de-frank-alexander-carolina-panthers-suspended-four-games-violating-nfl-substance-abuse-policy
J. Blackmon,JAX,4,Substance abuse,,2013,http://thebiglead.com/2013/04/30/justin-blackmon-of-the-jaguars-suspended-for-4-games-for-violating-league-policy-on-substance-abuse/
L. Brazill,IND,4,Substance abuse,,2013,http://www.nfl.com/news/story/0ap1000000214428/article/lavon-brazill-suspended-for-violating-substance-policy
B. Collins,MIA,4,Substance abuse,,2013,http://www.nfl.com/news/story/0ap1000000214394/article/brandon-collins-banned-for-violating-substance-policy
F. Davis,WAS,4,Substance abuse,Marijuana-related,2011,http://www.cbssports.com/nfl/eye-on-football/24448694/redskins-te-fred-davis-suspended-Indefiniteinitely-by-nfl
J. Ferguson,NYJ,4,Substance abuse,,1999,http://sports.espn.go.com/nfl/news/story?id=4973457
W. Green,CLE,4,Substance abuse,Marijuana-related,2003,http://sports.espn.go.com/nfl/news/story?id=1665738
R. Harrison,NE,4,Substance abuse,,2007,http://sports.espn.go.com/nfl/news/story?id=2999994
W. Hill,NYG,4,Substance abuse,Marijuana-related,2013,http://espn.go.com/new-york/nfl/story/_/id/11007693/will-hill-new-york-giants-suspended-six-games-violating-nfl-substance-abuse-policy
S. Holmes,NYJ,4,Substance abuse,,2010,http://sports.espn.go.com/new-york/nfl/news/story?id=5077088
J. Hosley,TEN,4,Substance abuse,,2014,http://www.nfl.com/news/story/0ap2000000355977/article/giants-jayron-hosley-suspended-for-four-games
R. Jackson,WAS,4,Substance abuse,,2013,http://www.nfl.com/news/story/0ap1000000152373/article/washington-redskins-lb-rob-jackson-suspended-four-games
T. Jackson,TB,4,Substance abuse,,2009,http://www.nfl.com/news/story/0ap2000000364087/article/tanard-jackson-suspended-Indefiniteinitely-by-nfl
J. James,ARI,4,Substance abuse,,2013,http://profootballtalk.nbcsports.com/2013/02/13/javarris-james-suspended-four-games/
V. Miller,DEN,4,Substance abuse,Marijuana-related,2013,http://www.denverpost.com/ci_23711440/broncos-star-von-miller-suspended-four-games-by
O. Mobley,DEN,4,Substance abuse,,1989,http://articles.chicagotribune.com/1989-08-30/sports/8901090097_1_steroid-drug-policy-league-spokesman-joe-browne
B. Moore,WAS,4,Substance abuse,,2014,http://www.cbssports.com/nfl/eye-on-football/24519089/redskins-de-brandon-moore-suspended-4-games
S. Nelson,BUF,4,Substance abuse,,2010,http://www.buffalobills.com/news/article-3/TE-Nelson-suspended-for-first-four-games/b4507a26-f7ac-4bf9-9cf7-c47b2f079781
B. Reed,PIT,4,Substance abuse,,2013,http://www.behindthesteelcurtain.com/2013/7/19/4537156/former-steelers-receiver-bert-reed-suspended-four-games
D. Robinson,CAR,4,Substance abuse,,2010,http://sports.espn.go.com/nfl/news/story?id=5906973
A. Sanders,JAX,4,Substance abuse,,2014,http://espn.go.com/nfl/story/_/id/11249916/ace-sanders-jacksonville-jaguars-takes-leave-suspension-looming
V. Taua,SEA,4,Substance abuse,,2013,http://seattletimes.com/html/seahawks/2022327022_seahawks25xml.html
C. Thompson,BAL,4,Substance abuse,,2013,http://www.nfl.com/news/story/0ap1000000156390/article/christian-thompson-suspended-by-nfl-for-substance-abuse
W. Thurmond,SEA,4,Substance abuse,,2013,http://www.nfl.com/news/story/0ap2000000286330/article/walter-thurmond-to-drop-appeal-of-4game-suspension
D. Washington,ARI,4,Substance abuse,,2012,http://www.nfl.com/news/story/0ap2000000354739/article/daryl-washington-suspended-for-at-least-one-year
R. Watkins,KC,4,Substance abuse,,2014,http://espn.go.com/nfl/story/_/id/11173854/rokevious-watkins-kansas-city-chiefs-suspended-four-games-violating-nfl-substance-abuse-policy
L. White,FREE,4,Substance abuse,,2010,http://www.nfl.com/news/story/09000d5d818ee863/article/nfl-reveals-fourgame-ban-for-white-eightgamer-for-thomas
R. Williams,MIA,4,Substance abuse,,2005,http://sports.espn.go.com/nfl/news/story?id=2421774
B. Browner,SEA,4,"Substance abuse, repeated offense",,2013,http://profootballtalk.nbcsports.com/2014/03/05/browner-is-reinstated-with-four-game-suspension/
J. Lewis,BAL,4,"Substance abuse, repeated offense",,2004,http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=1279780
A. Smith,HOU,3,In-game violence,Ripping off opponent's helmet,2013,http://www.nfl.com/news/story/0ap1000000233139/article/houston-texans-de-antonio-smiths-suspension-appeal-denied
V. Amoia,NO,3,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/two-suspended-jets-are-out-of-a-job.html
J. Brandom,ARI,3,PEDs,,1990,http://articles.latimes.com/1990-08-14/sports/sp-693_1_offensive-linemen
