year,round,favorite,underdog,favorite_probability,favorite_win_flag
2012,2,UNLV,Colorado,0.684,0
2013,3,Michigan State,Memphis,0.692,1
2011,4,San Diego State,Connecticut,0.696,0
2011,3,North Carolina,Washington,0.699,1
2013,2,North Carolina State,Temple,0.701,0
2014,2,Baylor,Nebraska,0.703,1
2011,3,Notre Dame,Florida State,0.704,0
2011,4,North Carolina,Marquette,0.704,1
2014,2,Tennessee,Massachusetts,0.705,1
2011,2,Georgetown,Virginia Commonwealth,0.706,0
2013,3,San Diego State,Florida Gulf Coast,0.707,0
2012,3,Indiana,Virginia Commonwealth,0.709,1
2014,3,Virginia,Memphis,0.710,1
2013,2,Virginia Commonwealth,Akron,0.711,1
2013,3,Duke,Creighton,0.711,1
2012,2,Indiana,New Mexico State,0.713,1
2013,4,Wichita State,La Salle,0.714,1
2012,2,Michigan,Ohio,0.715,0
2012,3,Syracuse,Kansas State,0.716,1
2013,2,Arizona,Belmont,0.717,1
2011,3,Syracuse,Marquette,0.717,0
2012,3,Michigan State,Saint Louis,0.717,1
2014,2,Pittsburgh,Colorado,0.724,1
2013,3,Miami (FL),Illinois,0.726,1
2014,3,Arizona,Gonzaga,0.727,1
2014,2,Kentucky,Kansas State,0.739,1
2012,2,Wichita State,Virginia Commonwealth,0.742,0
2012,6,Kentucky,Louisville,0.744,1
2014,2,San Diego State,New Mexico State,0.745,1
2013,3,Gonzaga,Wichita State,0.747,0
2013,5,Syracuse,Marquette,0.750,1
2013,3,Syracuse,California,0.750,1
2012,2,Marquette,Brigham Young,0.751,1
2012,2,Vanderbilt,Harvard,0.752,1
2014,2,Ohio State,Dayton,0.753,0
2013,2,Wisconsin,Mississippi,0.756,0
2013,2,Saint Louis,New Mexico State,0.762,1
2014,3,Florida,Pittsburgh,0.762,1
2014,2,Virginia Commonwealth,Stephen F. Austin,0.764,0
2011,3,Kansas,Illinois,0.765,1
2012,2,Louisville,Davidson,0.767,1
2012,5,Kentucky,Baylor,0.769,1
2012,3,Baylor,Colorado,0.771,0
2014,3,Wisconsin,Oregon,0.772,1
2014,3,Michigan State,Harvard,0.772,1
2014,3,Syracuse,Dayton,0.773,0
2013,3,Kansas,North Carolina,0.778,1
2013,2,Kansas State,La Salle,0.782,0
2011,3,Pittsburgh,Butler,0.786,0
2012,3,Kansas,Purdue,0.786,1
2014,3,Michigan,Texas,0.787,1
2014,3,Kansas,Stanford,0.787,0
2011,4,Ohio State,Kentucky,0.788,0
2012,2,Baylor,South Dakota State,0.792,1
2012,4,Ohio State,Cincinnati,0.793,1
2012,4,Kentucky,Indiana,0.795,1
2011,4,Duke,Arizona,0.800,0
2011,2,Louisville,Morehead State,0.805,0
2014,3,Tennessee,Mercer,0.811,1
2014,2,Iowa State,North Carolina Central,0.812,1
2013,3,Florida,Minnesota,0.813,1
2011,3,San Diego State,Temple,0.813,1
2011,2,Connecticut,Bucknell,0.814,1
2013,3,Ohio State,Iowa State,0.816,1
2012,4,Kansas,North Carolina State,0.819,1
2011,3,Florida,UCLA,0.822,1
2014,3,Louisville,Saint Louis,0.822,1
2013,2,Michigan State,Valparaiso,0.830,1
2011,3,Purdue,Virginia Commonwealth,0.835,0
2011,2,Texas,Oakland,0.845,1
2013,6,Louisville,Wichita State,0.846,1
2012,3,Ohio State,Gonzaga,0.848,1
2011,4,Kansas,Richmond,0.852,1
2013,3,Arizona,Harvard,0.853,1
2012,2,Wisconsin,Montana,0.854,1
2012,3,North Carolina,Creighton,0.855,1
2011,2,Brigham Young,Wofford,0.856,1
2012,4,North Carolina,Ohio,0.862,1
2014,2,UCLA,Tulsa,0.871,1
2011,5,Kansas,Virginia Commonwealth,0.873,0
2013,2,Syracuse,Montana,0.874,1
2013,2,New Mexico,Harvard,0.874,0
2014,3,UCLA,Stephen F. Austin,0.878,1
2011,2,Kentucky,Princeton,0.882,1
2012,2,Florida State,St. Bonaventure,0.882,1
2014,2,Syracuse,Western Michigan,0.883,1
2014,2,Creighton,Louisiana-Lafayette,0.883,1
2012,2,Syracuse,North Carolina Asheville,0.893,1
2012,3,Kentucky,Iowa State,0.895,1
2012,2,Duke,Lehigh,0.896,0
2011,2,Syracuse,Indiana State,0.896,1
2011,3,Ohio State,George Mason,0.896,1
2013,2,Georgetown,Florida Gulf Coast,0.897,0
2013,2,Miami (FL),Pacific,0.899,1
2013,3,Louisville,Colorado State,0.901,1
2013,2,Michigan,South Dakota State,0.902,1
2011,2,Notre Dame,Akron,0.906,1
2014,2,Michigan State,Delaware,0.912,1
2013,3,Indiana,Temple,0.919,1
2012,3,Florida,Norfolk State,0.921,1
2011,2,Purdue,St. Peter's,0.922,1
2014,2,Kansas,Eastern Kentucky,0.924,1
2011,3,Duke,Michigan,0.925,1
2014,2,Wisconsin,American University,0.928,1
2014,2,Duke,Mercer,0.929,0
2014,2,Louisville,Manhattan,0.931,1
2011,2,North Carolina,Long Island,0.933,1
2011,2,San Diego State,Northern Colorado,0.935,1
2012,2,North Carolina,Vermont,0.936,1
2013,2,Ohio State,Iona,0.938,1
2013,4,Florida,Florida Gulf Coast,0.942,1
2013,2,Duke,Albany,0.946,1
2012,2,Kansas,Detroit,0.946,1
2014,2,Villanova,Milwaukee,0.947,1
2013,4,Louisville,Oregon,0.947,1
2013,2,Florida,Northwestern State,0.948,1
2012,2,Michigan State,Long Island,0.949,1
2011,2,Florida,UC-Santa Barbara,0.950,1
2014,2,Michigan,Wofford,0.954,1
2014,2,Virginia,Coastal Carolina,0.964,1
2012,2,Ohio State,Loyola (MD),0.964,1
2011,2,Pittsburgh,North Carolina Asheville,0.967,1
2012,2,Missouri,Norfolk State,0.972,0
2014,2,Wichita State,Cal Poly,0.975,1
2014,2,Arizona,Weber State,0.978,1
2013,2,Gonzaga,Southern University,0.982,1
2013,2,Kansas,Western Kentucky,0.982,1
2013,2,Indiana,James Madison,0.983,1
2014,2,Florida,Albany,0.988,1
2011,2,Kansas,Boston University,0.990,1
2012,2,Kentucky,Western Kentucky,0.991,1
2013,2,Louisville,North Carolina A&T,0.995,1
2011,2,Duke,Hampton,0.995,1
2011,2,Ohio State,UTSA,0.997,1
