RespondentID,"In your opinion, which sentence is more gramatically correct?","Prior to reading about it above, had you heard of the serial (or Oxford) comma?","How much, if at all, do you care about the use (or lack thereof) of the serial (or Oxford) comma in grammar?",How would you write the following sentence?,"When faced with using the word ""data"", have you ever spent time considering if the word was a singular or plural noun?","How much, if at all, do you care about the debate over the use of the word ""data"" as a singluar or plural noun?","In your opinion, how important or unimportant is proper use of grammar?",Gender,Age,Household Income,Education,Location (Census Region)
3292476328,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central
3292471540,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Very important,Male,18-29,,Bachelor degree,Pacific
3292470085,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,18-29,"$25,000 - $49,999",High school degree,New England
3292461339,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Male,30-44,,Bachelor degree,Mountain
3292459579,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,18-29,"$150,000+",Less than high school degree,West South Central
3292445554,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,18-29,"$0 - $24,999",Some college or Associate degree,West North Central
3292442484,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,Mountain
3292393560,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
3292379467,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,18-29,"$0 - $24,999",Some college or Associate degree,Mountain
3292345432,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central
3292335822,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,30-44,,Some college or Associate degree,Middle Atlantic
3292322774,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
3292282953,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,East South Central
3292263118,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Male,18-29,"$25,000 - $49,999",Graduate degree,West South Central
3292257628,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Male,18-29,"$50,000 - $99,999",Bachelor degree,Mountain
3292253077,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,18-29,"$150,000+",Bachelor degree,Pacific
3292214390,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,18-29,,Some college or Associate degree,East North Central
3292205163,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,18-29,"$0 - $24,999",High school degree,New England
3292192357,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3292183306,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central
3292170498,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,30-44,"$150,000+",Bachelor degree,Pacific
3292161436,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic
3292149318,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,30-44,"$50,000 - $99,999",Bachelor degree,Pacific
3292137946,"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,18-29,,High school degree,West South Central
3292117389,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,New England
3292105747,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,18-29,"$100,000 - $149,999",Bachelor degree,Pacific
3292101250,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,18-29,"$150,000+",High school degree,East South Central
3292096238,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Mountain
3292094597,"It's important for a person to be honest, kind, and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat unimportant,,,,,
3292089591,"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very unimportant,Male,30-44,,Bachelor degree,East North Central
3292073795,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very unimportant,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
3292023968,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not much,Somewhat important,Male,18-29,"$25,000 - $49,999",Graduate degree,East South Central
3291984774,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Somewhat important,Male,18-29,"$50,000 - $99,999",High school degree,Middle Atlantic
3291958520,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Somewhat important,,,,,
3291950618,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Somewhat important,Male,30-44,"$50,000 - $99,999",Graduate degree,West North Central
3291948110,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Somewhat important,Male,30-44,"$25,000 - $49,999",Bachelor degree,Pacific
3291919494,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,Male,30-44,"$50,000 - $99,999",Graduate degree,West North Central
3291874328,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,30-44,"$50,000 - $99,999",High school degree,East North Central
3291857979,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,30-44,"$100,000 - $149,999",High school degree,New England
3291853466,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Neither important nor unimportant (neutral),Male,30-44,"$25,000 - $49,999",High school degree,Middle Atlantic
3291817712,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,18-29,,High school degree,South Atlantic
3291815581,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat unimportant,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
3291811837,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,30-44,"$50,000 - $99,999",High school degree,New England
3291803239,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3291802821,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,,,,,,,,,
3291775856,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Somewhat important,Male,18-29,"$25,000 - $49,999",Bachelor degree,South Atlantic
3291768087,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Somewhat important,Male,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3291753086,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3291745570,"It's important for a person to be honest, kind, and loyal.",,,,,,,,,,,
3291743986,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,18-29,"$0 - $24,999",Graduate degree,Mountain
3291721733,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,30-44,"$0 - $24,999",High school degree,South Atlantic
3291681411,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Male,18-29,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
3291676997,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,> 60,"$25,000 - $49,999",Bachelor degree,West South Central
3291674215,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic
3291668593,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Some,Somewhat important,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central
3291654452,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
3291648628,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Some,Very important,Male,> 60,"$25,000 - $49,999",High school degree,West North Central
3291648208,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,> 60,,Some college or Associate degree,Mountain
3291646929,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,> 60,,,East North Central
3291640249,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Male,> 60,"$50,000 - $99,999",Graduate degree,
3291639565,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,> 60,,,West North Central
3291625347,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,,,,,,
3291619033,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,30-44,,Some college or Associate degree,Middle Atlantic
3291617977,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Somewhat important,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3291616811,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Very important,Male,18-29,,Bachelor degree,West North Central
3291606803,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,> 60,"$0 - $24,999",High school degree,South Atlantic
3291604017,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Male,> 60,,Some college or Associate degree,South Atlantic
3291601879,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,> 60,"$0 - $24,999",Bachelor degree,Middle Atlantic
3291597318,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
3291593564,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,Male,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3291591744,"It's important for a person to be honest, kind, and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,18-29,"$25,000 - $49,999",Graduate degree,South Atlantic
3291572455,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,18-29,"$0 - $24,999",Some college or Associate degree,East North Central
3291556856,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,> 60,"$150,000+",Graduate degree,West North Central
3291545872,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,18-29,"$0 - $24,999",Graduate degree,South Atlantic
3291543352,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not much,Somewhat important,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3291541633,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,,,,,,
3291463676,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3291459209,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,30-44,,Bachelor degree,East North Central
3291443169,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
3291432876,"It's important for a person to be honest, kind and loyal.",,,,,,,,,,,
3291427198,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,45-60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
3291426952,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,45-60,"$100,000 - $149,999",Graduate degree,Pacific
3291426312,"It's important for a person to be honest, kind and loyal.",,,,,,,,,,,
3291426104,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,45-60,"$25,000 - $49,999",High school degree,South Atlantic
3291424721,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central
3291424411,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,45-60,"$100,000 - $149,999",Bachelor degree,New England
3291421762,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3291420341,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,45-60,"$25,000 - $49,999",High school degree,East South Central
3291416221,"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Some,Very important,Male,> 60,"$150,000+",Bachelor degree,Middle Atlantic
3291414448,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3291405591,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,> 60,,Graduate degree,South Atlantic
3291402678,"It's important for a person to be honest, kind, and loyal.",,,,,,,,,,,
3291399741,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not much,Somewhat important,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3291397512,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central
3291396459,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,> 60,,High school degree,Mountain
3291396303,"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3291394671,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Female,45-60,,Some college or Associate degree,New England
3291392985,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Female,45-60,"$50,000 - $99,999",High school degree,Middle Atlantic
3291386692,"It's important for a person to be honest, kind, and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",,,,,,,,
3291381063,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,,,,,
3291377823,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
3291370269,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,45-60,,Some college or Associate degree,Middle Atlantic
3291370159,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Somewhat important,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3291359446,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,45-60,"$50,000 - $99,999",Graduate degree,New England
3291350550,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central
3291340591,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,> 60,"$100,000 - $149,999",Graduate degree,East North Central
