player,seconds_added_per_point
Jamie Morgan,1.46
Arnaud Boetsch,1.49
Bernd Karbacher,1.49
Nikolay Davydenko,1.52
Henrik Holm,1.52
Andrea Gaudenzi,1.57
Sargis Sargsian,1.57
Jean Rene Lisnard,1.58
Martin Damm,1.60
Guy Forget,1.61
Christian Bergstrom,1.62
Gaston Gaudio,1.63
Albert Costa,1.65
Alex Calatrava,1.67
Jerome Golmard,1.68
Todd Woodbridge,1.76
Patrick Rafter,1.78
Mark Woodforde,1.82
Janko Tipsarevic,1.83
Sebastien Grosjean,1.86
Stefano Pescosolido,1.87
Mariano Zabaleta,1.87
Lars Burgsmuller,1.87
Juan Monaco,1.89
Karol Kucera,1.95
Omar Camporese,1.96
Felix Mantilla,1.97
Pablo Andujar,2.00
Emilio Benfele Alvarez,2.00
Guillermo Garcia Lopez,2.04
Brett Steven,2.09
Nicklas Kulti,2.10
Juan Antonio Marin,2.11
Oscar Hernandez,2.12
Mario Ancic,2.13
Thierry Champion,2.13
Markus Zoecke,2.15
Anders Jarryd,2.15
Patrick Baur,2.16
Blaz Kavcic,2.17
Novak Djokovic,2.21
Diego Nargiso,2.23
Malivai Washington,2.24
Patrick McEnroe,2.25
Wayne Black,2.25
Magnus Norman,2.28
Leonardo Lavalle,2.31
Alex O'Brien,2.32
Claudio Pistolesi,2.34
Gianluca Pozzi,2.39
Tim Henman,2.43
Guillermo Coria,2.44
Fabrice Santoro,2.44
Lukasz Kubot,2.44
Alexander Mronz,2.45
Emilio Sanchez,2.45
Jaime Oncins,2.50
Andy Murray,2.53
Marcel Granollers,2.53
Horst Skoff,2.54
Sebastien De Chaunac,2.57
Daniel Orsanic,2.60
Ruben Ramirez Hidalgo,2.61
Danny Sapsford,2.62
Luiz Mattar,2.63
Paul Henri Mathieu,2.64
Eyal Ran,2.65
Flavio Saretta,2.69
Cedric Pioline,2.71
Marcos Aurelio Gorriz,2.74
David Wheaton,2.78
Joao Souza,2.80
Marcelo Filippini,2.84
Francisco Clavet,2.85
Tomas Nydahl,2.85
Todd Witsken,2.85
Kenneth Carlsen,2.92
Christian Ruud,2.96
Daniel Koellerer,2.98
George Bastl,3.01
Brad Gilbert,3.05
Gilad Bloom,3.05
Horacio De La Pena,3.07
Claudio Mezzadri,3.07
Mark Koevermans,3.09
Arnaud Clement,3.11
Markus Naewie,3.13
Bart Wuyts,3.16
Borna Coric,3.18
Lleyton Hewitt,3.22
Juan Martin Del Potro,3.23
Pablo Arraya,3.26
Jim Grabb,3.27
Mats Wilander,3.30
Jordi Arrese,3.30
Guillermo Canas,3.31
Justin Gimelstob,3.32
Lionel Roux,3.36
Renzo Furlan,3.37
Illya Marchenko,3.40
Nicolas Kiefer,3.51
Christo Van Rensburg,3.55
Boris Becker,3.55
Martin Jaite,3.63
Marc Lopez,3.67
Martin Vassallo Arguello,3.69
Nicolas Lapentti,3.72
Pat Cash,3.73
Markus Hantschk,3.77
Attila Savolt,3.81
Shuzo Matsuoka,3.90
Jean Philippe Fleurian,3.92
Marcos Ondruska,3.93
Gilbert Schaller,3.93
Thierry Guardiola,3.97
Carlos Berlocq,4.08
Jan Frode Andersen,4.12
Roberto Jabali,4.35
Ivan Lendl,4.35
Jim Courier,4.51
Alex Corretja,4.64
Thomas Hogstedt,4.77
Hernan Gumy,4.86
Jimmy Connors,4.90
Andrei Cherkasov,4.92
Michael Chang,4.94
Joao Cunha Silva,5.10
Julian Knowle,5.15
John McEnroe,5.22
Lucas Arnold Ker,5.35
T.J. Middleton,5.60
Martin Stringari,5.68
Rafael Nadal,5.92
Nicolas Massu,6.21
Emanuel Couto,6.35
