Title,Date,Federal Reporter Citation,Westlaw Citation,Issue,Weight,Judge1,Judge2,Judge3,Vote1,Vote2,Vote3,Category
Hung Thai Pham v. James,10/20/15,630 Fed.Appx. 735,2015 WL 6144067,1,1,Tymkovich,Holmes,McHugh,0,0,0,Title VII
Brown v. Lowe's Home Centers,10/08/15,627 Fed.Appx. 720,2015 WL 5847586,1,1,Holmes,Matheson,Bacharach,0,0,0,Title VII
Thomas v. Berry Plastics Corp.,09/25/15,803 F.3d 510,2015 WL 5638027,1,1,Tymkovich,Ebel,Gorsuch,0,0,0,Title VII
Arabalo v. City of Denver,09/09/15,625 Fed.Appx. 851,2015 WL 5235740,1,1,Kelly,Phillips,Moritz,0,0,0,Title VII
Zisumbo v. Ogden Regional Medical Center,09/04/15,801 F.3d 1185,2015 WL 5172860,1,0.5,Kelly,Phillips,Moritz,1,1,1,Title VII
Zisumbo v. Ogden Regional Medical Center,09/04/15,801 F.3d 1185,2015 WL 5172860,2,0.5,Kelly,Phillips,Moritz,0,0,0,Title VII
"Macias v. Southwest Cheese Co., LLC",08/24/15,624 Fed.Appx. 628,2015 WL 4998338,1,0.5,Holmes,Matheson,Bacharach,1,1,1,Title VII
"Macias v. Southwest Cheese Co., LLC",08/24/15,624 Fed.Appx. 628,2015 WL 4998338,2,0.5,Holmes,Matheson,Bacharach,0,0,0,Title VII
Martin v. Mt. St. Mary's University Online,08/11/15,620 Fed.Appx. 661,2015 WL 4734707,1,1,Holmes,Matheson,Phillips,0,0,0,Title VII
Didier v. Abbott Laboratories,07/31/15,614 Fed.Appx. 366,2015 WL 4591931,1,1,Hartz,Holmes,Phillips,0,0,0,Title VII
Bandi v. Colvin,07/16/15,618 Fed.Appx. 426,2015 WL 4296716,1,1,Matheson,Bacharach,Moritz,0,0,0,Title VII
"Llamas v. QC Financial Services, Inc.",07/13/15,621 Fed.Appx. 906,2015 WL 4175020,1,1,Kelly,Holmes,McHugh,0,0,0,Title VII
Jordan v. Dillon Companies,07/09/15,618 Fed.Appx. 926,2015 WL 4126952,1,1,Hartz,Phillips,McHugh,0,0,0,Title VII
Taite v. Ramos,07/08/15,618 Fed.Appx. 392,2015 WL 4098136,1,0.5,Hartz,Phillips,McHugh,0,0,0,Title VII
Taite v. Ramos,07/08/15,618 Fed.Appx. 392,2015 WL 4098136,2,0.5,Hartz,Phillips,McHugh,1,1,1,Title VII
Smith v. Global Staffing,06/17/15,621 Fed.Appx. 899,2015 WL 3757125,1,1,Gorsuch,O'Brien,Phillips,0,0,0,Title VII
Gad v. Kansas State University,05/27/15,787 F.3d 1032,2015 WL 3389211,1,1,Tymkovich,Gorsuch,Bacharach,1,1,1,Title VII
Hare v. Donahoe,05/04/15,608 Fed.Appx. 627,2015 WL 1963777,1,1,Briscoe,Lucero,Matheson,0,0,0,Title VII
Montano v. Public Service Co. of New Mexico,04/23/15,610 Fed.Appx. 748,2015 WL 1840938,1,1,Bacharach,Porfilio,Baldock,1,1,1,Title VII
"Chavez-Acosta v. Southwest Cheese Co., LLC",04/20/15,610 Fed.Appx. 722,2015 WL 1768989,1,1,Kelly,Baldock,Phillips,0,0,0,Title VII
"Chytka v. Wright Tree Service, Inc.",03/25/15,617 Fed.Appx. 841,2015 WL 1320241,1,1,Moritz,Porfilio,Baldock,0,0,0,Title VII
McDonald v. Boeing Co.,03/03/15,602 Fed.Appx. 452,2015 WL 876791,1,1,Kelly,Baldock,Phillips,0,0,0,Title VII
McCauley v. Board of Com'rs for Bernalillo County,03/02/15,603 Fed.Appx. 730,2015 WL 858091,1,1,Kelly,Baldock,Moritz,0,0,0,Title VII
Avington v. Metropolitan Tulsa Urban League,02/11/15,603 Fed.Appx. 662,"2015 Fair Empl.Prac.Cas. (BNA) 176,405",1,1,Gorsuch,O'Brien,Holmes,0,0,0,Title VII
Bejar v. McDonald,02/03/15,601 Fed.Appx. 628,2015 WL 428120,1,1,Hartz,McKay,McHugh,0,0,0,Title VII
Riser v. QEP Energy,01/27/15,776 F.3d 1191,2015 WL 328597,1,0.5,Kelly,Lucero,Hartz,1,1,1,Title VII
Riser v. QEP Energy,01/27/15,776 F.3d 1191,2015 WL 328597,2,0.5,Kelly,Lucero,Hartz,0,0,0,Title VII
Davis v. James,01/15/15,597 Fed.Appx. 983,2015 WL 178982,1,1,Kelly,Anderson,Tymkovich,0,0,0,Title VII
Brainard v. City of Topeka,01/13/15,597 Fed.Appx. 974,2015 WL 150288,1,1,Kelly,Anderson,Bacharach,0,0,0,Title VII
Estate of Bassatt v. School Dist. No. 1 in the City and County of Denver,12/31/14,775 F.3d 1233,2014 WL 7399052,1,1,Kelly,Bacharach,Phillips,0,0,0,Title VII
"Myers v. Knight Protective Service, Inc.",12/22/14,774 F.3d 1246,2014 WL 7240089,1,1,Gorsuch,O'Brien,Phillips,0,0,0,Title VII
Hartigan v. Utah Transit Authority,12/10/14,595 Fed.Appx. 779,2014 WL 6934370,1,1,Hartz,McKay,McHugh,0,0,0,Title VII
"Al-Kazaz v. Unitherm Food Systems, Inc.",12/08/14,594 Fed.Appx. 460,2014 WL 6888504,1,1,Holmes,Bacharach,McHugh,0,0,0,Title VII
"Melin v. Verizon Business, Inc.",11/25/14,595 Fed.Appx. 736,2014 WL 6679430,1,1,Kelly,Anderson,Tymkovich,0,0,0,Title VII
Ward v. Jewell,11/24/14,772 F.3d 1199,125 Fair Empl.Prac.Cas. (BNA) 437,1,1,Kelly,Bacharach,Phillips,0,0,0,Title VII
Stewart v. Oklahoma ex rel. Oklahoma Office of Juvenile Affairs,09/25/14,587 Fed.Appx. 455,2014 WL 4746296,1,1,Kelly,Porfilio,Matheson,0,0,0,Title VII
Benton v. Town of South Fork,09/24/14,587 Fed.Appx. 447,2014 WL 4723710,1,1,Kelly,Anderson,Bacharach,0,0,0,Title VII
Smith v. United Parcel Service,09/05/14,578 Fed.Appx. 755,2014 WL 4377680,1,1,Briscoe,Porfilio,O'Brien,0,0,0,Title VII
"Tabor v. Hilti, Inc.",09/02/14,577 Fed.Appx. 870,2014 WL 4290581,1,1,Hartz,Tymkovich,Holmes,0,0,0,Title VII
Green v. Donahoe,07/28/14,760 F.3d 1135,2014 WL 3703823,1,0.5,Hartz,McKay,Matheson,1,1,1,Title VII
Green v. Donahoe,07/28/14,760 F.3d 1135,2014 WL 3703823,2,0.5,Hartz,McKay,Matheson,0,0,0,Title VII
Clark v. Cache Valley Elec. Co.,07/25/14,573 Fed.Appx. 693,2014 WL 3685996,1,1,Briscoe,Porfilio,O'Brien,0,0,0,Title VII
"Juarez-Galvan v. United Parcel Service, Inc.",07/22/14,572 Fed.Appx. 619,2014 WL 3585735,1,1,Lucero,Murphy,Bacharach,0,0,0,Title VII
"Knitter v. Corvias Military Living, LLC",07/15/14,758 F.3d 1214,2014 WL 3409962,1,1,Gorsuch,Matheson,Bacharach,0,0,0,Title VII
Barrett v. Salt Lake County,06/13/14,754 F.3d 864,2014 WL 2619799,1,1,Lucero,O'Brien,Gorsuch,1,1,1,Title VII
Townsend-Johnson v. Rio Rancho Public Schools,06/11/14,568 Fed.Appx. 542,2014 WL 2598702,1,1,Gorsuch,Baldock,Bacharach,0,0,0,Title VII
Davis v. Unified School Dist. 500,05/05/14,750 F.3d 1168,305 Ed. Law Rep. 23,1,1,Briscoe,Porfilio,O'Brien,0,0,0,Title VII
Ridgell-Boltz v. Colvin,04/30/14,565 Fed.Appx. 680,2014 WL 1688349,1,0.5,Gorsuch,McKay,Anderson,1,1,1,Title VII
Ridgell-Boltz v. Colvin,04/30/14,565 Fed.Appx. 680,2014 WL 1688349,2,0.5,Gorsuch,McKay,Anderson,0,0,0,Title VII
Hanson v. Colorado Judicial Dept.,04/29/14,564 Fed.Appx. 916,2014 WL 1677874,1,1,Lucero,Seymour,Tymkovich,0,0,0,Title VII
Dyer v. Lane,04/25/14,564 Fed.Appx. 391,2014 WL 1647057,1,1,Holmes,Anderson,Baldock,0,0,0,Title VII
Potter v. Synerlink Corp.,04/21/14,562 Fed.Appx. 665,2014 WL 1562163,1,0.5,Lucero,O'Brien,Matheson,0,0,0,Title VII
Potter v. Synerlink Corp.,04/21/14,562 Fed.Appx. 665,2014 WL 1562163,2,0.5,Lucero,O'Brien,Matheson,1,0,1,Title VII
Ning Lu v. Kendall,04/14/14,561 Fed.Appx. 751,2014 WL 1408894,1,1,Lucero,Tymkovich,Phillips,0,0,0,Title VII
Asebedo v. Kansas State University,03/17/14,559 Fed.Appx. 668,2014 WL 998417,1,0.5,Phillips,McKay,Anderson,1,1,1,Title VII
Asebedo v. Kansas State University,03/17/14,559 Fed.Appx. 668,2014 WL 998417,2,0.5,Phillips,McKay,Anderson,1,1,1,Title VII
Eisenhour v. Weber County,03/12/14,744 F.3d 1220,2014 WL 958468,1,0.5,Gorsuch,Baldock,Bacharach,1,1,1,Title VII
Eisenhour v. Weber County,03/12/14,744 F.3d 1220,2014 WL 958468,2,0.5,Gorsuch,Baldock,Bacharach,0,0,0,Title VII
Kramer v. Wasatch County Sheriff's Office,02/25/14,743 F.3d 726,121 Fair Empl.Prac.Cas. (BNA) 1329,1,0.5,Briscoe,Seymour,Bacharach,1,1,1,Title VII
Kramer v. Wasatch County Sheriff's Office,02/25/14,743 F.3d 726,121 Fair Empl.Prac.Cas. (BNA) 1329,2,0.5,Briscoe,Seymour,Bacharach,0,0,0,Title VII
Kenfield v. Colorado Dept. of Public Health & Environment,02/14/14,557 Fed.Appx. 728,2014 WL 563588,1,1,Briscoe,Seymour,Lucero,0,0,0,Title VII
Richardson v. Gallagher,01/29/14,553 Fed.Appx. 816,122 Fair Empl.Prac.Cas. (BNA) 12,1,1,Tymkovich,Brorby,Murphy,0,0,0,Title VII
White v. Oklahoma,01/28/14,552 Fed.Appx. 840,2014 WL 292448,1,1,Tymkovich,Anderson,Bacharach,0,0,0,Title VII
Zamora v. Board of Educ. for Las Cruces Public Schools,01/24/14,553 Fed.Appx. 786,2014 WL 260293,1,1,Lucero,Baldock,Brorby,0,0,0,Title VII
Hester v. Jewell,01/21/14,553 Fed.Appx. 783,2014 WL 211868,1,1,Lucero,McKay,Murphy,0,0,0,Title VII
Benton v. Town of South Fork and Police Dept.,01/09/14,553 Fed.Appx. 772,2014 WL 67867,1,1,Lucero,Brorby,Bacharach,0,0,0,Title VII
Buhendwa v. Regional Transp. Dist.,01/07/14,553 Fed.Appx. 768,2014 WL 44001,1,1,Lucero,Brorby,Bacharach,0,0,0,Title VII
Zoutomou v. Copper,12/23/13,550 Fed.Appx. 647,2013 WL 6727524,1,1,Kelly,Tymkovich,Phillips,0,0,0,Title VII
"Debord v. Mercy Health System of Kansas, Inc.",11/26/13,737 F.3d 642,2013 WL 6170983,1,1,Kelly,Murphy,Tymkovich,0,0,0,Title VII
"Jeffrey v. CP Kelco U.S., Inc.",11/14/13,544 Fed.Appx. 817,2013 WL 6018615,1,1,Matheson,Porfilio,O'Brien,0,0,0,Title VII
Lobato v. New Mexico Environment Dept.,11/05/13,733 F.3d 1283,2013 WL 5912072,1,1,Tymkovich,Seymour,Gorsuch,0,0,0,Title VII
"Wright v. City of Topeka, Kan.",11/01/13,547 Fed.Appx. 861,2013 WL 5860724,1,1,Kelly,Tymkovich,Gorsuch,0,0,0,Title VII
"Bhomengo v. Hospital Shared Services, Inc.",10/29/13,543 Fed.Appx. 812,2013 WL 5789276,1,1,Kelly,Holmes,Matheson,0,0,0,Title VII
Marquez v. Johnson,10/18/13,545 Fed.Appx. 735,2013 WL 5663834,1,1,Briscoe,Anderson,Brorby,0,0,0,Title VII
Ferguson v. Shinseki,10/17/13,543 Fed.Appx. 750,2013 WL 5651284,1,1,Hartz,Baldock,Gorsuch,0,0,0,Title VII
Frederick v. Metropolitan State University of Denver Bd. of Trustees,10/03/13,535 Fed.Appx. 713,2013 WL 5482337,1,1,Hartz,Baldock,Gorsuch,0,0,0,Title VII
"E.E.O.C. v. Abercrombie & Fitch Stores, Inc.",10/01/13,731 F.3d 1106,2013 WL 5434809,1,0.5,Kelly,Ebel,Holmes,0,0,0,Title VII
"E.E.O.C. v. Abercrombie & Fitch Stores, Inc.",10/01/13,731 F.3d 1106,2013 WL 5434809,2,0.5,Kelly,Ebel,Holmes,0,1,0,Title VII
Salazar v. City of Commerce City,09/23/13,535 Fed.Appx. 692,2013 WL 5303257,1,1,Briscoe,Anderson,Brorby,0,0,0,Title VII
"Leo v. Garmin Intern., Inc.",09/12/13,536 Fed.Appx. 813,2013 WL 4840497,1,1,Briscoe,Anderson,Brorby,0,0,0,Title VII
Keeler v. ARAMARK,08/21/13,536 Fed.Appx. 771,2013 WL 4437618,1,1,Hartz,O'Brien,Gorsuch,0,0,0,Title VII
"McCafferty v. Preiss Enterprises, Inc.",08/13/13,534 Fed.Appx. 726,2013 WL 4055480,1,1,Lucero,Murphy,Matheson,0,0,0,Title VII
Borwick v. T-Mobile West Corp.,08/07/13,535 Fed.Appx. 650,2013 WL 4007740,1,1,Hartz,Brorby,Ebel,0,0,0,Title VII
Pettigrew v. Oklahoma ex rel. Oklahoma Dept. of Public Safety,07/15/13,722 F.3d 1209,2013 WL 3491643,1,1,Hartz,McKay,O'Brien,1,1,1,Title VII
Freppon v. City of Chandler,07/01/13,528 Fed.Appx. 892,2013 WL 3285628,1,1,Lucero,Porfilio,Matheson,0,0,0,Title VII
"Desai v. Panguitch Main Street, Inc.",06/05/13,527 Fed.Appx. 689,2013 WL 2435360,1,1,Lucero,Anderson,Baldock,0,0,0,Title VII
"Murdock v. City of Wichita, Kans.",05/23/13,525 Fed.Appx. 820,2013 WL 2249425,1,1,Lucero,Anderson,Baldock,0,0,0,Title VII
Manning v. Blue Cross and Blue Shield of Kansas City,04/12/13,522 Fed.Appx. 438,2013 WL 1490803,1,1,Briscoe,Holloway,Tymkovich,0,0,0,Title VII
"Rochelle v. Hy-Vee, Inc.",03/22/13,514 Fed.Appx. 706,2013 WL 1171382,1,1,O'Brien,McKay,Baldock,0,0,0,Title VII
"Luke v. Hospital Shared Services, Inc.",03/20/13,513 Fed.Appx. 763,2013 WL 1136937,1,1,Kelly,McKay,O'Brien,0,0,0,Title VII
Paige v. Donovan,02/19/13,511 Fed.Appx. 729,2013 WL 599796,1,1,Hartz,Anderson,Ebel,0,0,0,Title VII
Conroy v. Vilsack,02/11/13,707 F.3d 1163,2013 WL 491546,1,1,Tymkovich,Ebel,Holmes,0,0,0,Title VII
Espinoza v. Department of Corrections,02/04/13,509 Fed.Appx. 724,2013 WL 409676,1,1,Briscoe,Gorsuch,Matheson,0,0,0,Title VII
Robles v. Amarr Garage Doors,02/04/13,509 Fed.Appx. 741,2013 WL 409913,1,1,Lucero,O'Brien,Matheson,0,0,0,Title VII
"Tabor v. Hilti, Inc.",01/15/13,703 F.3d 1206,2013 WL 150225,1,0.5,Lucero,O'Brien,Matheson,1,1,1,Title VII
"Tabor v. Hilti, Inc.",01/15/13,703 F.3d 1206,2013 WL 150225,2,0.5,Lucero,O'Brien,Matheson,0,0,0,Title VII
"Barlow v. C.R. England, Inc.",12/26/12,703 F.3d 497,2012 WL 6685467,1,0.5,Briscoe,Gorsuch,Matheson,1,1,1,Title VII
"Barlow v. C.R. England, Inc.",12/26/12,703 F.3d 497,2012 WL 6685467,2,0.5,Briscoe,Gorsuch,Matheson,0,0,0,Title VII
Gaff v. St. Mary's Regional Medical Center,12/19/12,506 Fed.Appx. 726,2012 WL 6604579,1,1,Gorsuch,Anderson,Ebel,0,0,0,Title VII
Kinney v. Blue Dot Services of Kansas,12/18/12,505 Fed.Appx. 812,2012 WL 6582375,1,1,Kelly,Tymkovich,Gorsuch,0,0,0,Title VII
"Daniels v. United Parcel Service, Inc.",12/11/12,701 F.3d 620,2012 WL 6131853,1,1,Tymkovich,Baldock,Gorsuch,0,0,0,Title VII
"Held v. Ferrellgas, Inc.",12/07/12,505 Fed.Appx. 687,2012 WL 6062662,1,1,Lucero,Hartz,O'Brien,0,0,0,Title VII
Kaiser v. Colorado Dept. of Corrections,12/05/12,504 Fed.Appx. 739,2012 WL 6032265,1,1,Gorsuch,Anderson,Ebel,0,0,0,Title VII
Weeks v. Kansas,11/29/12,503 Fed.Appx. 640,2012 WL 5951609,1,1,Tymkovich,Baldock,Gorsuch,0,0,0,Title VII
Nichols v. Kansas Dept. of Corrections,11/27/12,503 Fed.Appx. 573,2012 WL 5908906,1,1,Murphy,Ebel,Hartz,0,0,0,Title VII
"Brown v. ScriptPro, LLC",11/27/12,700 F.3d 1222,19 Wage & Hour Cas.2d (BNA) 1675,1,1,Kelly,Holloway,Matheson,0,0,0,Title VII
Xia v. Salazar,11/27/12,503 Fed.Appx. 577,2012 WL 5909096,1,1,Kelly,O'Brien,Matheson,1,1,1,Title VII
Green v. JP Morgan Chase Bank Nat. Ass'n,11/01/12,501 Fed.Appx. 727,2012 WL 5359294,1,1,Gorsuch,Anderson,Ebel,0,0,0,Title VII
Mobley v. Donahoe,10/05/12,498 Fed.Appx. 793,2012 WL 4748162,1,1,Hartz,Anderson,Ebel,0,0,0,Title VII
"Shah v. Oklahoma, ex rel. Oklahoma Dept. of Mental Health and Substance Abuse",09/11/12,485 Fed.Appx. 971,2012 WL 3935699,1,1,Tymkovich,Holloway,Matheson,0,0,0,Title VII
Lucero v. Sandia Corp.,08/28/12,495 Fed.Appx. 903,2012 WL 3667449,1,1,Holmes,Ebel,Matheson,0,0,0,Title VII
Apsley v. Boeing Co.,08/27/12,691 F.3d 1184,2012 WL 3642800,1,1,Briscoe,Baldock,Holmes,0,0,0,Title VII
Smith v. Wynne,08/20/12,494 Fed.Appx. 867,2012 WL 3553722,1,1,Briscoe,McKay,Lucero,0,0,0,Title VII
"Getachew v. Google, Inc.",08/09/12,491 Fed.Appx. 923,2012 WL 3217611,1,1,Lucero,O'Brien,Matheson,0,0,0,Title VII
"Keller v. Crown Cork & Seal USA, Inc.",08/08/12,491 Fed.Appx. 908,2012 WL 3196002,1,1,Hartz,Anderson,O'Brien,0,0,0,Title VII
"McBride v. Peak Wellness Center, Inc.",08/06/12,688 F.3d 698,2012 WL 3156325,1,1,Kelly,Baldock,Tymkovich,0,0,0,Title VII
"Konzak v. Wells Fargo Bank, N.A.",08/01/12,492 Fed.Appx. 906,2012 WL 3104872,1,1,Briscoe,McKay,Lucero,0,0,0,Title VII
"Eke v. CaridianBCT, Inc.",07/31/12,490 Fed.Appx. 156,2012 WL 3089714,1,1,Hartz,Anderson,O'Brien,0,0,0,Title VII
"Brown v. YRC, Inc.",07/30/12,490 Fed.Appx. 952,2012 WL 3064831,1,1,Briscoe,Porfilio,Murphy,1,1,1,Title VII
"Somerlott v. Cherokee Nation Distributors, Inc.",07/27/12,686 F.3d 1144,2012 WL 3055566,1,1,Murphy,Brorby,Gorsuch,0,0,0,Title VII
Kennington v. U.S. Dept. of the Treasury,07/26/12,490 Fed.Appx. 939,2012 WL 3038156,1,1,Kelly,Hartz,Holmes,1,1,1,Title VII
"Tran v. Sonic Industries Services, Inc.",07/19/12,490 Fed.Appx. 115,2012 WL 2928521,1,1,Lucero,McKay,Tymkovich,0,0,0,Title VII
Bertsch v. Overstock.com,07/10/12,684 F.3d 1023,2012 WL 2756362,1,0.5,Kelly,Murphy,Hartz,0,0,0,Title VII
Bertsch v. Overstock.com,07/10/12,684 F.3d 1023,2012 WL 2756362,2,0.5,Kelly,Murphy,Hartz,1,1,1,Title VII
Hernandez v. Valley View Hosp. Ass'n,06/26/12,684 F.3d 950,82 Fed.R.Serv.3d 1197,1,0.5,Kelly,Murphy,Matheson,1,1,1,Title VII
Hernandez v. Valley View Hosp. Ass'n,06/26/12,684 F.3d 950,82 Fed.R.Serv.3d 1197,2,0.5,Kelly,Murphy,Matheson,0,0,0,Title VII
Baltazar v. Shinseki,06/25/12,485 Fed.Appx. 941,2012 WL 2369332,1,1,Murphy,Gorsuch,Holmes,0,0,0,Title VII
Ford v. Donley,06/18/12,485 Fed.Appx. 305,2012 WL 2236695,1,1,Briscoe,Porfilio,Murphy,0,0,0,Title VII
Larson v. United Air Lines,06/01/12,482 Fed.Appx. 344,2012 WL 1959471,1,1,Murphy,Hartz,Tymkovich,0,0,0,Title VII
"Morris v. Cabela's Wholesale, Inc.",05/29/12,486 Fed.Appx. 701,2012 WL 1925542,1,1,Lucero,McKay,Gorsuch,0,0,0,Title VII
"Hearron v. Voith Indus. Services, Inc.",05/24/12,483 Fed.Appx. 453,2012 WL 1881721,1,1,Briscoe,Porfilio,Murphy,0,0,0,Title VII
"Battle v. J-M Mfg. Co., Inc.",05/24/12,483 Fed.Appx. 455,2012 WL 1881727,1,1,Tymkovich,Baldock,Gorsuch,0,0,0,Title VII
Kenney v. AG Equipment Co.,02/21/12,462 Fed.Appx. 841,2012 WL 540783,1,1,Briscoe,McKay,Holmes,0,0,0,Title VII
"Park v. TD Ameritrade Trust Co., Inc.",02/14/12,461 Fed.Appx. 753,2012 WL 453630,1,1,Kelly,Murphy,Holmes,0,0,0,Title VII
Johnson v. Sedgwick County Sheriff's Dept.,02/14/12,461 Fed.Appx. 756,2012 WL 453637,1,1,Hartz,Anderson,Baldock,0,0,0,Title VII
Boese v. Fort Hays State University,02/09/12,462 Fed.Appx. 797,2012 WL 401519,1,1,Hartz,Anderson,Baldock,0,0,0,Title VII
Khalik v. United Air Lines,02/06/12,671 F.3d 1188,2012 WL 364058,1,1,Briscoe,McKay,O'Brien,0,0,0,Title VII
"Sampson v. Integra Telecom Holdings, Inc.",02/06/12,461 Fed.Appx. 670,2012 WL 361999,1,1,Tymkovich,Seymour,Gorsuch,0,0,0,Title VII
Brown v. Unified School Dist. No. 501,02/01/12,459 Fed.Appx. 705,2012 WL 287500,1,1,Kelly,Murphy,Holmes,0,0,0,Title VII
Igwe v. Saint Anthony's Hosp.,01/31/12,464 Fed.Appx. 685,2012 WL 266955,1,1,Briscoe,Murphy,Matheson,0,0,0,Title VII
Yarberry v. Vilsack,01/31/12,460 Fed.Appx. 736,2012 WL 266931,1,1,Tymkovich,Brorby,Ebel,0,0,0,Title VII
Patillo v. Larned State Hosp.,01/30/12,462 Fed.Appx. 780,2012 WL 256023,1,1,Hartz,Anderson,Baldock,0,0,0,Title VII
Morris v. City of Colorado Springs,01/18/12,666 F.3d 654,2012 WL 130672,1,1,O'Brien,Gilman,Holmes,0,0,0,Title VII
"Field v. Board of Water Com'rs, City and County of Denver",12/30/11,453 Fed.Appx. 811,2011 WL 6881794,1,1,Kelly,Porfilio,Matheson,0,0,0,Title VII
"Hoko v. Huish Detergents, Inc.",12/27/11,453 Fed.Appx. 799,2011 WL 6762962,1,1,Hartz,Holloway,Porfilio,0,0,0,Title VII
"Carrera v. Tyson Foods, Inc.",12/01/11,449 Fed.Appx. 753,2011 WL 6000551,1,1,Lucero,Anderson,Gorsuch,0,0,0,Title VII
