Person,Party,State,Event,Type,Date,Link,Snippet
Mike Huckabee ,Republican,IA,Iowa Freedom Summit. Sponsored by Steve King and Citizens United.,speech,24-Jan,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"Huckabee was booked to be one of several speakers at the inaugural Iowa Freedom Summit hosted by U.S. Rep. Steve King and Citizens United, a conservative organization best known for influencing campaign finance in this country. Sponsored by Steve King and Citizens United."
Mike Huckabee ,Republican,IA,Book Signing,public appearance,24-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,"he will do a book signing for God, Guns, Grits and Gravy at Books-A-Million in Ames"
Ben Carson,Republican,IA,Iowa Freedom Summit. Sponsored by Steve King and Citizens United.,speech,24-Jan,http://features.desmoinesregister.com/news/politics/candidate-tracker/,Iowa Freedom Summit. Sponsored by Steve King and Citizens United
Ben Carson,Republican,IA,Private Breakfast Downtown,meeting,24-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,">Dr. Ben Carson is scheduled to visit Des Moines, Iowa on January 24, 2015. The Des Moines Regiister reports he plans a private breakfast downtown; and will speak at the Iowa Freedom Summit."
Scott Walker,Republican,IA,Iowa Freedom Summit.,speech,24-Jan,http://www.desmoinesregister.com/story/news/politics/2015/01/08/wisconsins-scott-walker-books-iowa-speech-president-freedom-summit/21437667/,Iowa Freedom Summit. Sponsored by Steve King and Citizens United
Scott Walker,Republican,IA,Private meetings and meeting with activists,meeting,24-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,"Gov. Scott Walker is scheduled to visit Des Moines, Iowa on January 24, 2015.  The Des Moines Regiister reports he plans private meetings; will speak at the Iowa Freedom Summit; and will meet with activists afterwards."
Carly Fiorina,Republican,IA,Iowa Freedom Summit.,speech,24-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,Iowa Freedom Summit. Sponsored by Steve King and Citizens United
Rick Perry,Republican,IA,Iowa Freedom Summit.,speech,24-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,Iowa Freedom Summit. Sponsored by Steve King and Citizens United
Rick Santorum,Republican,IA,Iowa Freedom Summit.,speech,24-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,Iowa Freedom Summit. Sponsored by Steve King and Citizens United
Rick Santorum,Republican,IA,Guest at Cherokee County Republican Party Fundraiser,fundraiser (other),24-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,and in the evening will be the special guest at the Cherokee County Republican Party's Pie and Politics fundraiser at Aurelia Community Center in Aurelia.
Mike Huckabee ,Republican,IA,Book Signing,speech,25-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,"In the morning he will speak at church service and hold a book signing at Lenexa Baptist Church in Lenexa, KS"
Mike Huckabee ,Republican,IA,Book Signing,public appearance,25-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,In the afternoon he will do book signings at Barnes & Noble in Cedar Rapids; and at Walnut Creek Church in Windsor Heights
Rick Perry,Republican,IA,Meet and Greet,public appearance,25-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,Late afternoon/evening of January 25 he is scheduled to do a meet and greet at the Pizza Ranch in Indianola
Rick Santorum,Republican,IA,Siouxland Rally for Life,attended event,25-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,On January 25 he is scheduled to be the honorary guest at the 4th Annual Siouxland Rally for Life at Cornerstone World Outreach in Sioux City
Rick Santorum,Republican,IA,Host a benefit showing of a film,public appearance,25-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,"and to host a benefit showing of EchoLight Studios' film ""One Generation Away"" at the Museum of Religious Arts in Logan."
Rick Perry,Republican,IA,Breakfast with Republican Jewish Coalition,meeting,26-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,On the morning of January 26 he is to do a breakfast with the Republican Jewish Coalition at Maccabee's Kosher Deli in Des Moines.
Rick Santorum,Republican,IA,Scott County GOP Fundraiser,fundraiser (other),26-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,On January 26 he is scheduled to headline a Lincoln Club briefing fundraiser for the Scott County GOP at the Holiday Inn and Suites in Davenport.
Rick Santorum,Republican,IA,Retail stop at Java Lounge,public appearance,26-Jan,http://www.p2016.org/chrniowa/iavisits15r.html,per the Des Moines Register will make a retail stop at the Java Lounge in Williamsburg
Rick Santorum,Republican,IA,Iowa's Renewable Fuels Summit,attended event,27-Jan,http://www.desmoinesregister.com/story/news/politics/2015/01/08/santorum-dorgan-attend-iowa-renewable-fuels-summit/21457217/,Possible presidential contender Rick Santorum plans to attend Iowa's Renewable Fuels Summit
Bernie Sanders,Democratic,NH,House party at home of Amie Arnsen,attended event,31-Jan,http://www.p2016.org/chrnnewh/nhvisits15d.html,"Sen. Bernie Sanders is scheduled to appear at a house party at the home of Arnie Arnesen in Concord, NH on the afternoon ofJanuary 31, 2015."
Rand Paul,Republican,IA,"""Audit the Fed"" Breifing",speech,6-Feb,http://www.p2016.org/chrniowa/iavisits15d.html,"Sen. Rand Paul is scheduled to hold an ""Audit the Fed"" briefing at Jasper Winery in Des Moines, Iowa on February. 6, 2015."
Rand Paul,Republican,IA,meet and greet in marshalltown,public appearance,7-Feb,http://www.p2016.org/chrniowa/iavisits15r.html,On the afternoon of February 7 he plans a meet and greet with U.S. Rep. Rod Blum at Legends American Grill in Marshalltown
Rand Paul,Republican,IA,student rally,rally,7-Feb,http://www.p2016.org/chrniowa/iavisits15r.html,and a student rally sponsored by RandPAC in conjunction with the ISU vs. Texas Tech basketball game in the Scheman Building at Iowa State University in Ames
Chris Christie,Republican,IA,Dallas County Republican Spring Speaker Series,speech,9-Feb,http://www.p2016.org/chrniowa/iavisits15r.html,"Gov. Chris Christie is scheduled to kick off Dallas County Republicans' Spring Speaker Series (>) at the West Des Moines Marriott in West Des Moines, Iowa on February 9, 2015."
Carly Fiorina,Republican,NH,Politics & Eggs breakfast,speech,10-Feb,http://www.p2016.org/chrnnewh/nhvisits15r.html,"Former HP CEO Carly Fiorina is scheduled to speak at a Politics & Eggs breakfast at the Bedford Village Inn in Bedford, NH on the morning of February 10, 2015."
Rick Perry,Republican,NH,Sullivan County GOP Committee reception,attended event,11-Feb,http://www.p2016.org/chrnnewh/nhvisits15r.html,"attended a Sullivan County GOP Committee reception at Dexter's Inn, Trails & Restaurant in Sunapee"
Rick Perry,Republican,NH,Business Roundtable,meeting,11-Feb,http://www.p2016.org/chrnnewh/nhvisits15r.html,NHJournal reports on February 11 he will appear at a business roundtable in Manchester
Rick Perry,Republican,NH,Seacost Republican Women's Club dinner,attended event,11-Feb,http://www.p2016.org/chrnnewh/nhvisits15r.html,Seacoast Republican Women’s Club dinner at the Portsmouth Country Club in Greenland
Rick Perry,Republican,NH,Strafford County Lincoln Day Dinner,speech,12-Feb,http://www.p2016.org/chrnnewh/nhvisits15r.html,Perry is scheduled to be the keynote speaker at the Strafford County Lincoln Day Dinner at the Cottage-by-the-Bay in Dover
Chris Christie,Republican,NH,keynote the Merrimack County/Concord City Republican Committees’ Lincoln-Reagan Dinner at the Grappone Center,speech,16-Feb,http://www.p2016.org/chrnnewh/nhvisits15r.html,"John DiStaso at NHJournal reports, pending final confirmation, that Gov. Chris Christie is scheduled to visit NH on February 16, 2015 to keynote the Merrimack County/Concord City Republican Committees’ Lincoln-Reagan Dinner at the Grappone Center."
Bernie Sanders,Democratic,IA,"book reading from ""The Speech"" at Prairie Lights Bookstore",public appearance,19-Feb,http://www.p2016.org/chrniowa/iavisits15d.html,"On February 19 in Iowa City he plans to do a book reading from ""The Speech"" at Prairie Lights Bookstore"
Bernie Sanders,Democratic,IA,visit domestic violence intervention project,attended event,19-Feb,http://www.p2016.org/chrniowa/iavisits15d.html,visit the 18th Annual Domestic Violence Intervention Project Souper Bowl at the Clarion Hotel and Highlander Convention Center
Bernie Sanders,Democratic,IA,US Student ASsociation at the University of Iowa in Iowa City,speech,19-Feb,http://www.p2016.org/chrniowa/iavisits15d.html,On February 19 he plans to speak to the U.S. Student Association at the University of Iowa in Iowa City.
Bernie Sanders,Democratic,IA,Town Meeting at Drake University,speech,20-Feb,http://www.p2016.org/chrniowa/iavisits15d.html,On February 20 he plans a town meeting at Drake University;
Bernie Sanders,Democratic,IA,Adress the Iowa Citizen Action Network in Johnston,speech,20-Feb,http://www.p2016.org/chrniowa/iavisits15d.html,and in the evening will address the Iowa Citizen Action Network in Johnston
Bernie Sanders,Democratic,IA,Speak at Hawkeye Labor Council AFL-CIO,speech,21-Feb,http://www.p2016.org/chrniowa/iavisits15d.html,On February 21 he plans speak to the Hawkeye Labor Council AFL-CIO and Cedar Rapids Building Trades AFL-CIO at RDSU-UFCW Local 110 in Cedar Rapids
Bernie Sanders,Democratic,IA,Address Linn PHoenix Club in Cedar Rapids,speech,21-Feb,http://www.p2016.org/chrniowa/iavisits15d.html,meet with the Linn Phoenix Club at the African American Museum of Iowa in Cedar Rapids;
Bernie Sanders,Democratic,IA,Speech in Tipton,public appearance,22-Feb,http://www.p2016.org/chrniowa/iavisits15d.html,meet with community members organized by the Cedar County Democratic Party at the Cedar County Court House in Tipton
Bernie Sanders,Democratic,IA,Story County Democrats' 2015 Soup Supper at Collegiate United Methodist Church in Ames,speech,23-Feb,http://www.p2016.org/chrniowa/iavisits15d.html,deliver the keynote address at the Story County Democrats' 2015 Soup Supper at Collegiate United Methodist Church in Ames.
Marco Rubio,Republican,NH,Book Tour,public appearance,23-Feb,http://www.p2016.org/chrnnewh/nhvisits15r.html,"John DiStaso at NHJournal reports that Sen. Marco Rubio is likely to visit NH on his book tour, tentatively on February 23, 2015."
Scott Walker,Republican,NH,keynote address at NHGOP Gassroots Training and Rally,speech,14-Mar,http://www.p2016.org/chrnnewh/nhvisits15r.html,"Gov. Scott Walker is scheduled to deliver the keynote address at the NHGOP Grassroots Training and Rally at the New Hampshire Technical Institute in Concord, NH on March 14, 2015."
Carly Fiorina,Republican,IA,Polk County Republican Women E3 Women's Conference,Speech,14-Mar,http://www.p2016.org/chrniowa/iavisits15r.html,"Former Hewlitt Packard CEO Carly Fiorina is scheduled to speak at a Republican Party of Polk County/Polk County Republican Women E3 Women's Conference in Iowa on March 14, 2015."
